Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
Harrison Butker,34,38,0.895,0,9/9,9/10,13/13,3/6,56,1
Josh Lambo,33,34,0.971,0,12/12,9/9,8/9,4/4,56,0
Wil Lutz,32,36,0.889,1/1,9/9,6/6,13/15,3/5,58,0
Zane Gonzalez,31,35,0.886,0,12/12,12/13,5/8,2/2,54,1
Brandon McManus,29,34,0.853,0,6/6,9/9,10/12,4/7,53,0
Chris Boswell,29,31,0.935,1/1,11/11,7/7,9/10,1/2,51,0
Justin Tucker,28,29,0.966,0,8/8,9/9,10/11,1/1,51,0
Matt Gay,27,32,0.844,0,6/6,5/6,11/12,5/8,58,1
Randy Bullock,27,31,0.871,0,10/10,6/6,10/12,1/3,57,0
Dan Bailey,27,29,0.931,0,10/10,9/9,5/7,3/3,50,0
Matt Prater,26,31,0.839,0,11/11,2/3,6/9,7/8,56,1
Joey Slye,25,32,0.781,0,4/5,5/5,8/11,8/11,55,1
Austin Seibert,25,29,0.862,0,6/6,9/9,9/12,1/2,53,0
Dustin Hopkins,25,30,0.833,0,7/8,8/9,8/10,2/3,53,1
Greg Zuerlein,24,33,0.727,0,7/7,7/8,5/11,5/7,58,1
Chase McLaughlin,24,32,0.75,1/1,7/7,6/6,6/14,4/4,198,2
Jason Sanders,23,30,0.767,0,7/7,8/9,5/9,3/5,54,0
Eddy Pineiro,23,28,0.821,1/1,8/8,9/10,3/7,2/2,53,0
Jason Myers,23,28,0.821,0,6/6,11/11,4/7,2/4,54,0
Younghoe Koo,23,26,0.885,0,6/6,9/10,7/9,1/1,50,0
Robbie Gould,23,31,0.742,0,9/9,8/10,6/8,4,47,2
Stephen Hauschka,22,28,0.786,0,5/5,7/8,9/10,1/5,51,0
Jake Elliott,22,26,0.846,0,7/7,8/8,5/7,2/4,53,0
Mason Crosby,22,24,0.917,1/1,2/2,11/11,7/8,1/2,54,0
Brett Maher,20,30,0.667,0,9/9,6/8,1/5,4/8,63,1
Ka'imi Fairbairn,20,25,0.8,0,5/5,8/8,4/6,3/6,54,0
Sam Ficken,19,27,0.704,0,2/2,7/8,7/11,3/6,54,1
Daniel Carlson,19,26,0.731,0,8/8,5/6,6/10,2,48,0
Adam Vinatieri,17,25,0.68,0,6/7,6/6,3/7,2/5,55,2
Nick Folk,14,17,0.824,1/1,5/5,3/3,4/7,1/1,51,1
Mike Badgley,13,16,0.813,0,5/5,2/2,6/8,1,49,0
Aldrick Rosas,12,17,0.706,0,6/6,5/6,1/4,1,45,0
Kai Forbath,11,11,1.0,0,2/2,1/1,7/7,1/1,73,0
Matt Bryant,9,14,0.643,0,1/1,3/4,3/3,2/6,52,0
Ty Long,7,9,0.778,0,0,2/3,4/5,1/1,51,0
Stephen Gostkowski,7,8,0.875,0,3/3,3/3,1/2,0,41,0
Mike Nugent,5,8,0.625,0,3/4,2/3,1,0,37,1
Cairo Santos,4,9,0.444,0,0,1/3,2/3,1/3,53,1
Cody Parkey,3,3,1.0,0,0,0,2/2,1/1,51,0
Ryan Succop,1,4,0.25,0,0,1/1,2,1,31,0
