Player,FF,FR,FR TD
Marlon Humphrey,8,0,0
Haason Reddick,6,0,0
Yannick Ngakoue,6,0,0
Chase Young,4,2,1
Za'Darius Smith,4,2,0
Jason Pierre-Paul,4,2,0
Marcus Peters,4,2,0
Foye Oluokun,4,1,0
Michael Ojemudia,4,0,0
DeMarcus Lawrence,4,1,0
Javelin Guidry,4,0,0
Myles Garrett,4,2,0
Aaron Donald,4,1,0
Donovan Wilson,3,2,0
Andrew Van Ginkel,3,1,1
A.J. Terrell,3,0,0
Josh Sweat,3,0,0
Cameron Sutton,3,0,0
Logan Ryan,3,1,0
Robert Quinn,3,1,0
Daron Payne,3,1,0
Romeo Okwara,3,1,0
Emmanuel Ogbah,3,0,0
Terrance Mitchell,3,0,0
Khalil Mack,3,2,0
Darius Leonard,3,2,0
Eddie Jackson,3,1,1
Randy Gregory,3,0,0
Lavonte David,3,2,0
Jamie Collins,3,1,0
Brian Burns,3,0,0
Vonn Bell,3,2,0
Tarell Basham,3,0,0
Kwon Alexander,3,1,0
Antoine Winfield Jr.,2,0,0
Quinnen Williams,2,0,0
T.J. Watt,2,0,0
J.J. Watt,2,1,0
Jimmie Ward,2,0,0
Kyle Van Noy,2,1,0
Stephon Tuitt,2,0,0
Jerry Tillery,2,1,0
Jahlani Tavai,2,1,0
Montez Sweat,2,0,0
Daniel Sorensen,2,0,0
Dawuane Smoot,2,0,0
Joe Schobert,2,0,0
Patrick Queen,2,2,1
Jordan Poyer,2,0,0
Jordan Phillips,2,1,0
Darius Phillips,2,0,0
Hardy Nickerson,2,0,0
Steven Means,2,0,0
Benson Mayowa,2,1,0
Marcus Maye,2,0,0
Blake Martinez,2,1,0
Nevin Lawson,2,1,0
Carl Lawson,2,0,0
A.J. Klein,2,1,0
Johnathan Joseph,2,0,0
Chris Jones,2,0,0
A.J. Johnson,2,0,0
Jerry Hughes,2,1,0
Marcell Harris,2,0,0
Shaq Thompson,2,1,0
Carl Granderson,2,0,0
Brandon Graham,2,1,0
Trey Flowers,2,0,0
Clelin Ferrell,2,0,0
DeShon Elliott,2,0,0
T.J. Edwards,2,0,0
Bud Dupree,2,0,0
Jarrad Davis,2,0,0
Chuck Clark,2,0,0
Jeremy Chinn,2,2,2
Shilique Calhoun,2,0,0
Oren Burks,2,0,0
DeForest Buckner,2,1,0
Jayon Brown,2,0,0
James Bradberry,2,1,0
Vic Beasley,2,0,0
Cody Barton,2,0,0
Shaquil Barrett,2,0,0
Jerome Baker,2,0,0
Tyrell Adams,2,0,0
Justin Zimmer,1,0,0
Isaac Yiadom,1,0,0
Rock Ya-Sin,1,0,0
K.J. Wright,1,0,0
D.J. Wonnum,1,0,0
Chase Winovich,1,0,0
Eric Wilson,1,0,0
Damien Wilson,1,0,0
Ced Wilson,1,0,0
Brandon Wilson,1,0,0
Khari Willis,1,0,0
Quincy Williams,1,0,0
K'Waun Williams,1,0,0
Jordan Whitehead,1,0,0
Tre'Davious White,1,2,0
Devin White,1,1,0
Tershawn Wharton,1,1,0
Ken Webster,1,0,0
Sammy Watkins,1,0,0
Charles Washington,1,0,0
Fred Warner,1,2,0
Denzel Ward,1,0,0
Mykal Walker,1,0,0
DeMarcus Walker,1,0,0
Nick Vigil,1,2,0
Olivier Vernon,1,1,0
Leighton Vander Esch,1,0,0
Jacob Tuioti-Mariner,1,2,0
Danny Trevathan,1,0,0
Darian Thompson,1,0,0
Tavierre Thomas,1,0,0
Ndamukong Suh,1,0,0
Roquan Smith,1,0,0
Malcolm Smith,1,0,0
Andre Smith,1,0,0
Buster Skrine,1,0,0
Jeffery Simmons,1,2,0
Isaiah Simmons,1,1,0
Laviska Shenault Jr.,1,0,0
Kendall Sheffield,1,0,0
Jabaal Sheard,1,0,0
Andrew Sendejo,1,0,0
Reggie Robinson II,1,0,0
Alton Robinson,1,0,0
Nickell Robey-Coleman,1,1,0
Craig Robertson,1,0,0
Elandon Roberts,1,0,0
Derick Roberson,1,0,0
Duke Riley,1,0,0
Sheldon Richardson,1,0,0
LaRoy Reynolds,1,1,0
Malik Reed,1,0,0
Jarran Reed,1,0,0
Taylor Rapp,1,0,0
Reggie Ragland,1,0,0
Kevin Pierre-Louis,1,0,0
Denzel Perryman,1,0,0
Jabrill Peppers,1,1,0
Isaiah Oliver,1,0,0
Ed Oliver,1,0,0
Alex Okafor,1,0,0
Larry Ogunjobi,1,0,0
George Odum,1,0,0
Efe Obada,1,2,0
Josh Norman,1,1,0
Ben Niemann,1,2,0
Eric Murray,1,0,0
Al-Quadin Muhammad,1,0,0
Morgan Moses,1,0,0
Nicholas Morrow,1,1,0
Jimmy Moreland,1,0,0
Tarvarius Moore,1,1,0
Kenny Moore II,1,0,0
D.J. Moore,1,0,0
Damontre Moore,1,0,0
A.J. Moore,1,0,0
Jalen Mills,1,0,0
Bruce Miller,1,0,0
Raekwon McMillan,1,0,0
Sherrick McManis,1,0,0
David Mayo,1,0,0
Jake Martin,1,0,0
Cassius Marsh,1,0,0
Cameron Malveaux,1,0,0
Jordan Mailata,1,0,0
Frankie Luvu,1,0,0
David Long,1,0,0
Cre'von LeBlanc,1,0,0
Shaq Lawson,1,0,0
Nick Kwiatkoski,1,0,0
Micah Kiser,1,0,0
Kevin King,1,1,0
Zach Kerr,1,0,0
Kingsley Keke,1,0,0
Jayron Kearse,1,0,0
Damontae Kazee,1,0,0
Joshua Kalu,1,0,0
Sebastian Joseph-Day,1,0,0
Dion Jordan,1,1,0
Cameron Jordan,1,0,0
Sidney Jones,1,0,0
Jonathan Jones,1,0,0
Deion Jones,1,1,0
DaQuan Jones,1,0,0
Byron Jones,1,0,0
Brandon Jones,1,0,0
Taron Johnson,1,0,0
Marcus Johnson,1,0,0
Austin Johnson,1,0,0
Kevin Johnson,1,0,0
Malcolm Jenkins,1,1,0
Jordan Jenkins,1,0,0
Quinton Jefferson,1,1,0
Michael Jacquet,1,0,0
Myles Jack,1,0,0
