Player,INT,INT TD,INT Yds,Lng
Xavien Howard,10,0,77,29
J.C. Jackson,9,0,80,30
Tyrann Mathieu,6,1,70,25
Harrison Smith,5,0,33,16
Justin Simmons,5,0,90,46
Quandre Diggs,5,0,57,32
Darious Williams,4,0,21,19
Darnell Savage,4,0,13,9
Marcus Peters,4,0,17,12
Kenny Moore II,4,1,45,29
Amani Hooker,4,0,11,6
Kendall Fuller,4,0,0,0
Minkah Fitzpatrick,4,1,77,37
Carlton Davis,4,0,42,34
Malcolm Butler,4,0,111,68
Blidi Wreh-Wilson,3,0,26,23
Eric Wilson,3,0,23,16
Marcus Williams,3,0,37,20
Tre'Davious White,3,0,28,28
Daniel Sorensen,3,1,67,50
L'Jarius Sneed,3,0,42,39
Joe Schobert,3,1,45,43
Patrick Peterson,3,0,7,7
Dre Kirkpatrick,3,0,13,13
Eric Kendricks,3,0,0,0
Malcolm Jenkins,3,0,58,48
Janoris Jenkins,3,1,53,36
Donte Jackson,3,0,110,66
Mike Hilton,3,0,5,8
Troy Hill,3,2,119,84
Jeff Heath,3,0,89,47
Shaquill Griffin,3,0,20,16
Jordan Fuller,3,0,45,37
Trevon Diggs,3,0,43,33
Pierre Desir,3,1,58,35
Michael Davis,3,1,86,78
Kamren Curl,3,1,88,76
James Bradberry,3,0,19,19
Tyus Bowser,3,0,53,25
Jessie Bates,3,0,12,12
Andrew Wingard,2,0,31,19
Logan Wilson,2,0,0,0
Khari Willis,2,1,93,50
Avery Williamson,2,0,42,42
Donovan Wilson,2,0,0,0
Jordan Whitehead,2,0,2,2
Fred Warner,2,0,3,3
Denzel Ward,2,0,0,0
Levi Wallace,2,0,0,0
Jason Verrett,2,0,0,0
Jamar Taylor,2,0,8,8
M.J. Stewart,2,0,51,30
Roquan Smith,2,0,16,11
Eric Rowe,2,0,26,22
Patrick Robinson,2,0,0,0
Xavier Rhodes,2,1,44,44
D.J. Reed,2,0,21,20
Jordan Poyer,2,0,14,14
Brian Poole,2,0,15,13
Jason Pierre-Paul,2,0,15,15
Adrian Phillips,2,0,5,5
Foye Oluokun,2,0,65,51
Steven Nelson,2,0,3,3
Nik Needham,2,0,1,1
Ryan Neal,2,0,1,1
Trayvon Mullen,2,0,0,0
Fabian Moreau,2,0,0,0
Devin McCourty,2,1,62,43
Marcus Maye,2,0,0,0
Dean Marlowe,2,0,39,23
Marshon Lattimore,2,0,13,13
Christian Kirksey,2,0,18,10
Johnathan Joseph,2,0,10,10
Sidney Jones,2,0,1,1
Jonathan Jones,2,0,0,0
Deion Jones,2,1,84,67
Byron Jones,2,0,15,15
Rayshawn Jenkins,2,0,23,23
Duron Harmon,2,0,22,21
Joe Haden,2,1,38,24
B.J. Goodson,2,0,7,7
Tashaun Gipson,2,0,10,9
Marcus Epps,2,0,0,0
Mike Edwards,2,0,67,37
Terrell Edmunds,2,0,11,7
Cameron Dantzler,2,0,0,0
T.J. Carrie,2,1,47,47
Bryce Callahan,2,0,0,0
Anthony Brown,2,0,14,14
Bashaud Breeland,2,0,29,29
Julian Blackmon,2,0,19,15
