Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Deshaun Watson,4823,8.9,544,382,0.702,33,7,112.4,221,0.406,69,11,77,49,293
Patrick Mahomes,4740,8.1,588,390,0.663,38,6,108.2,238,0.405,67,8,75,22,147
Tom Brady,4633,7.6,610,401,0.657,40,12,102.2,233,0.382,63,12,50,21,143
Matt Ryan,4581,7.3,626,407,0.65,26,11,93.3,242,0.387,58,8,63,41,257
Josh Allen,4544,7.9,572,396,0.692,37,10,107.2,228,0.399,62,8,55,26,159
Justin Herbert,4336,7.3,595,396,0.666,31,10,98.3,216,0.363,51,10,72,32,218
Aaron Rodgers,4299,8.2,526,372,0.707,48,5,121.5,216,0.411,57,14,78,20,182
Kirk Cousins,4265,8.3,516,349,0.676,35,13,105.0,212,0.411,58,7,71,39,256
Russell Wilson,4212,7.5,558,384,0.688,40,13,105.1,213,0.382,45,11,62,47,301
Philip Rivers,4169,7.7,543,369,0.68,24,11,97.0,200,0.368,56,8,55,19,118
Derek Carr,4103,7.9,517,348,0.673,27,9,101.4,193,0.373,54,12,85,26,150
Matthew Stafford,4084,7.7,528,339,0.642,26,10,96.3,205,0.388,54,8,73,38,254
Kyler Murray,3971,7.1,558,375,0.672,26,12,94.3,205,0.367,44,14,80,27,176
Jared Goff,3952,7.2,552,370,0.67,20,13,90.0,194,0.351,47,6,56,23,161
Ryan Tannehill,3819,7.9,481,315,0.655,33,7,106.5,202,0.42,44,13,75,24,173
Ben Roethlisberger,3803,6.3,608,399,0.656,33,10,94.1,193,0.317,43,4,84,13,118
Teddy Bridgewater,3733,7.6,492,340,0.691,15,11,92.1,174,0.354,49,8,75,31,205
Baker Mayfield,3563,7.3,486,305,0.628,26,8,95.9,188,0.387,43,5,75,26,162
Daniel Jones,2943,6.6,448,280,0.625,11,10,80.4,158,0.353,31,5,53,45,286
Drew Brees,2942,7.5,390,275,0.705,24,6,106.4,149,0.382,31,8,52,13,89
Drew Lock,2933,6.6,443,254,0.573,16,15,75.4,145,0.327,38,8,92,19,123
Lamar Jackson,2757,7.3,376,242,0.644,26,9,99.3,138,0.367,37,4,47,29,160
Joe Burrow,2688,6.7,404,264,0.653,13,5,89.8,150,0.371,23,3,67,32,231
Cam Newton,2657,7.2,368,242,0.658,8,10,82.9,133,0.361,31,3,50,31,195
Carson Wentz,2620,6.0,437,251,0.574,16,15,72.8,130,0.297,27,6,59,50,326
Nick Mullens,2437,7.5,326,211,0.647,12,12,84.1,120,0.368,33,4,49,19,139
Gardner Minshew,2259,6.9,327,216,0.661,16,5,95.9,117,0.358,27,3,51,27,147
Sam Darnold,2208,6.1,364,217,0.596,9,11,72.7,109,0.299,27,2,69,35,234
Andy Dalton,2170,6.5,333,216,0.649,14,8,87.3,116,0.348,20,5,69,24,184
Ryan Fitzpatrick,2091,7.8,267,183,0.685,13,8,95.6,106,0.397,24,4,70,14,65
Mitchell Trubisky,2055,6.9,297,199,0.67,16,8,93.5,124,0.418,18,1,53,18,125
Dak Prescott,1856,8.4,222,151,0.68,9,4,99.6,93,0.419,25,6,58,10,66
Nick Foles,1852,6.0,311,202,0.65,10,8,81.0,93,0.299,24,2,50,18,145
Tua Tagovailoa,1814,6.3,290,186,0.641,11,5,87.1,100,0.345,15,0,35,20,136
Alex Smith,1582,6.3,252,168,0.667,6,8,78.5,74,0.294,16,3,68,22,139
Dwayne Haskins,1439,6.0,241,148,0.614,5,7,73.0,73,0.303,14,2,50,20,141
Jimmy Garoppolo,1096,7.8,140,94,0.671,7,5,92.4,55,0.393,10,3,76,11,77
Mike Glennon,1072,6.0,179,111,0.62,7,5,80.1,57,0.318,13,1,46,9,53
Jalen Hurts,1061,7.2,148,77,0.52,6,4,77.6,45,0.304,16,3,81,13,59
Taysom Hill,928,7.7,121,88,0.727,4,2,98.8,45,0.372,13,1,44,14,87
Brandon Allen,925,6.5,142,90,0.634,5,4,82.0,42,0.296,10,2,72,7,51
Joe Flacco,864,6.4,134,74,0.552,6,3,80.6,36,0.269,11,3,52,7,69
C.J. Beathard,787,7.6,104,66,0.635,6,0,105.7,42,0.404,12,3,49,9,71
Jake Luton,624,5.7,110,60,0.545,2,6,54.5,31,0.282,5,1,73,7,52
Kyle Allen,610,7.0,87,60,0.69,4,1,99.3,30,0.345,7,1,52,7,44
Jeff Driskel,432,6.8,64,35,0.547,3,2,78.4,18,0.281,6,1,45,11,98
Colt McCoy,375,5.7,66,40,0.606,1,1,75.0,19,0.288,5,0,35,5,24
P.J. Walker,368,6.6,56,32,0.571,1,5,45.8,17,0.304,5,1,52,4,31
Mason Rudolph,324,7.5,43,25,0.581,2,1,87.7,13,0.302,5,3,47,1,8
Brett Rypien,295,7.4,40,27,0.675,2,4,66.1,12,0.3,5,2,48,1,0
Chase Daniel,264,6.1,43,29,0.674,1,2,72.2,14,0.326,3,0,28,3,29
Jarrett Stidham,256,5.8,44,22,0.5,2,3,54.7,12,0.273,4,0,38,4,21
Chad Henne,248,6.5,38,28,0.737,2,0,108.2,15,0.395,2,0,37,2,4
Garrett Gilbert,243,6.4,38,21,0.553,1,1,72.6,10,0.263,4,0,32,2,23
John Wolford,231,6.1,38,22,0.579,0,1,64.7,12,0.316,3,0,38,2,8
Marcus Mariota,226,8.1,28,17,0.607,1,1,83.3,11,0.393,4,0,35,0,0
Ben DiNucci,219,5.1,43,23,0.535,0,0,67.9,11,0.256,1,0,32,7,73
