Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Isaiah McKenzie,84.0,1,84,1,1,1,84,1,0
Jalen Reagor,23.5,4,94,1,1,1,73,4,2
Gunner Olszewski,17.3,20,346,1,4,3,70,11,0
Diontae Spencer,15.8,16,253,1,3,2,83,14,2
Keelan Cole,15.6,9,140,1,1,1,91,4,0
Danny Amendola,13.0,3,39,0,1,0,21,3,0
Brandon Aiyuk,13.0,2,26,0,0,0,16,1,0
Jamal Agnew,12.7,14,178,1,1,1,74,14,2
Jabrill Peppers,12.5,15,187,0,3,0,20,14,0
Trent Taylor,12.4,9,112,0,1,0,20,14,0
Deonte Harris,12.2,17,207,0,2,1,42,5,2
Isaiah Rodgers,12.0,1,12,0,0,0,12,1,0
Malcolm Perry,12.0,1,12,0,0,0,12,1,1
Hunter Renfrow,11.5,23,265,0,3,0,32,10,1
Devin Duvernay,11.5,4,46,0,0,0,19,2,0
Jakeem Grant,11.4,29,330,1,3,1,88,8,2
Marquez Callaway,11.1,11,122,0,0,0,19,5,0
Dede Westbrook,11.0,4,44,0,0,0,13,1,0
J.J. Taylor,11.0,1,11,0,0,0,11,0,0
Anthony Miller,11.0,5,55,0,1,0,32,3,0
Ray-Ray McCloud,10.3,29,298,0,2,2,57,19,2
Alex Erickson,10.1,23,232,0,3,0,29,20,1
Nyheim Hines,10.0,26,260,0,3,0,26,11,0
Andre Roberts,9.9,29,286,0,4,0,38,12,2
David Moore,9.3,12,111,0,1,0,20,14,1
Kalif Raymond,9.0,23,208,0,2,1,40,10,0
Brandon Powell,8.9,17,152,0,2,0,24,22,0
Golden Tate,8.8,4,35,0,0,0,15,2,0
James Proche,8.6,23,198,0,1,0,20,16,0
Braxton Berrios,8.6,10,86,0,0,0,18,21,0
DeAndre Carter,8.4,15,126,0,0,0,32,9,2
JoJo Natson,8.3,3,25,0,0,0,13,0,0
Dwayne Harris,8.1,10,81,0,0,0,19,0,1
River Cracraft,8.0,5,40,0,1,0,21,2,0
Bryce Callahan,8.0,1,8,0,0,0,8,2,0
D.J. Reed,7.8,10,78,0,0,0,15,8,1
Tommylee Lewis,7.7,9,69,0,0,0,17,7,0
Nsimba Webster,7.4,25,185,0,1,0,34,15,3
Diontae Johnson,7.3,8,58,0,0,0,18,2,1
CeeDee Lamb,7.2,24,172,0,3,0,27,9,1
Mecole Hardman,7.0,25,176,1,1,1,67,13,1
Dante Pettis,7.0,2,14,0,0,0,8,2,0
Will Fuller,7.0,2,14,0,0,0,13,0,0
K.J. Hill,6.9,12,83,0,1,0,30,9,1
Keke Coutee,6.9,7,48,0,0,0,11,6,1
Steven Sims,6.7,24,160,0,2,0,22,19,4
Josh Jackson,6.5,2,13,0,0,0,7,0,0
Greg Ward,6.4,21,134,0,1,0,22,22,1
Jaydon Mickens,6.2,16,99,0,0,0,14,12,0
Darrius Shepherd,6.0,1,6,0,0,0,6,4,0
Trey Quinn,6.0,1,6,0,0,0,6,0,0
Christian Kirk,6.0,22,132,0,2,0,24,8,1
Antonio Callaway,6.0,2,12,0,0,0,11,0,0
C.J. Board,6.0,1,6,0,0,0,6,0,0
Pharoh Cooper,5.9,20,117,0,1,0,20,18,1
Kenjon Barner,5.8,13,75,0,1,0,21,0,0
Richie James,5.7,6,34,0,0,0,12,6,2
Cooper Kupp,5.6,9,50,0,0,0,10,11,1
Ted Ginn,4.8,5,24,0,0,0,10,1,1
Chad Beebe,4.7,9,42,0,0,0,13,5,2
Tavon Austin,4.7,3,14,0,0,0,7,3,1
D'Ernest Johnson,4.3,3,13,0,0,0,10,4,0
Donovan Peoples-Jones,4.3,18,77,0,0,0,13,7,0
Ced Wilson,4.0,5,20,0,0,0,10,3,0
Tyler Ervin,4.0,5,20,0,0,0,11,7,0
Chris Claybrooks,4.0,3,12,0,0,0,13,3,1
K.J. Osborn,3.9,7,27,0,0,0,8,6,2
Isaiah Wright,3.8,4,15,0,0,0,13,3,3
Brandon Rusnak,3.0,1,3,0,0,0,3,0,0
Danny Johnson,3.0,1,3,0,0,0,3,4,0
Desmond King,2.8,6,17,0,0,0,7,4,0
DeSean Jackson,2.0,1,2,0,0,0,2,1,0
K.J. Hamler,2.0,3,6,0,0,0,8,5,1
Antonio Brown,2.0,1,2,0,0,0,2,2,0
Byron Murphy,1.5,2,3,0,0,0,3,1,0
Andy Isabella,1.0,1,1,0,0,0,1,2,0
Austin Carr,1.0,1,1,0,0,0,1,1,0
Ken Webster,0.0,1,0,0,0,0,0,0,1
Alvin Kamara,0.0,1,0,0,0,0,0,0,0
Micah Hyde,0.0,1,0,0,0,0,0,0,0
Tyreek Hill,0.0,1,0,0,0,0,0,0,1
Tarik Cohen,0.0,1,0,0,0,0,0,1,0
Damiere Byrd,0.0,1,0,0,0,0,0,1,1
Greg Stroman,-1.0,2,0,0,0,0,1,0,0
Demarcus Robinson,-6.5,2,0,0,0,0,0,1,1
