Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Stefon Diggs,127,1535,8,20,5,55,73,0.575,0,0,166
Travis Kelce,105,1416,11,23,2,45,79,0.752,1,0,145
DeAndre Hopkins,115,1407,6,17,6,60,75,0.652,3,0,160
Justin Jefferson,88,1400,7,23,4,71,58,0.659,1,0,125
Calvin Ridley,90,1374,9,23,3,63,65,0.722,1,0,143
Davante Adams,115,1374,18,18,5,56,73,0.635,1,0,149
DK Metcalf,83,1303,10,17,5,62,63,0.759,1,0,129
Tyreek Hill,87,1276,15,20,5,75,57,0.655,0,0,135
Allen Robinson,102,1250,6,22,1,42,68,0.667,0,0,151
Darren Waller,107,1196,9,16,0,38,69,0.645,2,0,145
D.J. Moore,66,1193,4,19,6,74,53,0.803,0,0,118
Brandin Cooks,81,1150,6,20,3,57,52,0.642,0,0,119
Terry McLaurin,87,1118,4,17,3,68,51,0.586,1,0,134
Amari Cooper,92,1114,5,13,3,69,54,0.587,0,0,130
Robby Anderson,95,1096,3,16,2,75,49,0.516,1,0,136
A.J. Brown,70,1075,11,13,5,73,55,0.786,2,0,106
Tyler Lockett,100,1054,10,10,2,47,57,0.57,1,0,132
Mike Evans,70,1006,13,20,2,50,55,0.786,0,0,109
Keenan Allen,100,992,8,10,0,28,61,0.61,3,0,147
Corey Davis,65,984,5,14,3,75,49,0.754,1,0,92
Marvin Jones,76,978,9,19,1,43,52,0.684,0,0,115
Cooper Kupp,92,974,3,12,2,55,45,0.489,0,0,124
Cole Beasley,82,967,4,15,0,35,53,0.646,0,0,107
Robert Woods,90,936,6,11,1,56,46,0.511,1,0,129
CeeDee Lamb,74,935,5,18,3,52,46,0.622,1,0,111
Adam Thielen,74,925,14,11,1,51,52,0.703,0,0,108
Diontae Johnson,88,923,7,10,4,47,45,0.511,1,0,144
Tee Higgins,67,908,6,14,2,67,52,0.776,1,0,107
Nelson Agholor,48,896,8,15,5,85,37,0.771,0,0,82
Will Fuller,53,879,8,14,4,77,38,0.717,0,0,75
Chase Claypool,62,873,9,14,2,84,41,0.661,3,0,109
Jerry Jeudy,52,856,3,14,4,92,39,0.75,2,0,113
Curtis Samuel,77,851,3,12,1,44,39,0.506,1,0,97
Michael Gallup,59,843,5,11,3,55,44,0.746,0,0,105
Tyler Boyd,79,841,4,7,1,72,43,0.544,1,0,110
Jarvis Landry,72,840,3,11,0,32,46,0.639,1,0,101
Chris Godwin,65,840,7,13,4,47,43,0.662,1,0,84
JuJu Smith-Schuster,97,831,9,13,0,31,48,0.495,3,0,128
DeVante Parker,63,793,4,10,0,31,45,0.714,1,0,103
Russell Gage,72,786,4,6,0,35,50,0.694,0,0,110
Julio Jones,51,771,3,16,2,44,36,0.706,0,0,68
Marquise Brown,58,769,8,13,4,70,35,0.603,0,0,100
T.Y. Hilton,56,762,5,11,3,50,42,0.75,0,0,93
Mike Williams,48,756,5,13,2,64,35,0.729,0,0,85
Alvin Kamara,83,756,5,9,2,52,35,0.422,0,0,107
Darius Slayton,50,751,3,10,2,41,40,0.8,1,0,96
Brandon Aiyuk,60,748,5,10,1,49,43,0.717,0,0,96
Tim Patrick,51,742,6,14,4,61,33,0.647,0,0,79
Jakobi Meyers,59,729,0,11,0,35,37,0.627,1,0,81
Emmanuel Sanders,61,726,5,7,2,51,33,0.541,1,0,82
T.J. Hockenson,67,723,6,6,1,51,40,0.597,0,0,101
D.J. Chark,53,706,5,10,2,73,37,0.698,0,0,94
Mike Gesicki,53,703,6,10,1,70,36,0.679,0,0,85
Mark Andrews,58,701,7,10,0,39,37,0.638,2,0,88
Jamison Crowder,59,699,6,9,2,69,32,0.542,0,0,89
Marquez Valdes-Scantling,33,690,6,10,6,78,27,0.818,1,0,63
Noah Fant,62,673,3,8,0,37,34,0.548,0,0,93
Logan Thomas,72,670,6,5,0,30,36,0.5,0,0,110
Kendrick Bourne,49,667,2,7,1,49,35,0.714,0,0,74
Sterling Shepard,66,656,3,10,0,29,37,0.561,0,0,90
Hunter Renfrow,56,656,2,7,2,53,32,0.571,1,0,77
Evan Engram,63,654,1,6,2,53,32,0.508,1,0,109
Keelan Cole,55,642,5,8,1,51,34,0.618,0,0,88
George Kittle,48,634,2,8,2,44,32,0.667,0,0,63
Darnell Mooney,61,631,4,6,2,53,33,0.541,1,0,98
Zach Pascal,44,629,5,13,1,42,29,0.659,0,0,71
Rob Gronkowski,45,623,7,10,2,48,29,0.644,1,0,77
Christian Kirk,48,621,6,7,3,80,30,0.625,0,0,79
Josh Reynolds,52,618,2,8,1,40,31,0.596,1,0,81
Dalton Schultz,63,615,4,3,0,28,33,0.524,1,0,89
Hunter Henry,60,613,4,5,0,33,35,0.583,0,0,93
Damiere Byrd,47,604,1,10,1,42,29,0.617,1,0,77
Danny Amendola,46,602,0,8,1,50,30,0.652,0,0,69
Laviska Shenault Jr.,58,600,5,10,0,36,33,0.569,0,0,79
Rashard Higgins,37,599,4,12,2,43,26,0.703,2,0,52
Gabriel Davis,35,599,7,10,3,56,27,0.771,1,0,62
Marvin Hall,35,592,4,8,4,158,20,0.571,0,0,62
J.D. McKissic,80,589,2,2,0,29,32,0.4,2,0,110
Robert Tonyan,52,586,11,9,1,45,33,0.635,0,0,59
Hayden Hurst,56,571,6,5,1,42,35,0.625,0,0,88
Mecole Hardman,41,560,4,7,1,49,23,0.561,1,0,62
Eric Ebron,56,558,5,6,0,27,30,0.536,1,0,91
Travis Fulgham,38,539,4,5,2,42,26,0.684,0,0,67
Dallas Goedert,46,524,3,7,1,41,28,0.609,0,0,65
A.J. Green,47,523,2,3,0,33,34,0.723,0,0,98
Tyler Higbee,44,521,5,9,1,44,27,0.614,0,0,60
Jalen Guyton,28,511,3,7,4,72,18,0.643,0,0,51
Breshad Perriman,30,505,3,10,3,53,20,0.667,0,0,60
Jared Cook,37,504,7,6,3,46,27,0.73,1,0,60
Michael Pittman,40,503,1,5,2,45,22,0.55,0,0,61
Scott Miller,33,501,3,7,3,48,20,0.606,0,0,53
Anthony Miller,49,485,2,4,0,34,23,0.469,1,0,76
Antonio Brown,45,483,4,6,1,46,27,0.6,0,0,61
Nyheim Hines,63,482,4,2,0,29,24,0.381,0,0,76
Cam Sims,32,477,1,9,2,50,18,0.563,0,0,48
Chris Conley,40,471,2,5,1,51,24,0.6,1,0,63
Demarcus Robinson,45,466,3,7,0,28,26,0.578,1,0,59
John Brown,33,458,3,7,1,46,22,0.667,0,0,52
Jimmy Graham,50,456,8,4,0,30,32,0.64,1,0,75
Henry Ruggs III,26,452,2,8,4,72,13,0.5,1,0,43
Allen Lazard,33,451,3,6,2,72,23,0.697,0,0,46
Tre'Quan Smith,34,448,4,9,0,31,22,0.647,1,0,50
Jonnu Smith,41,448,8,4,1,63,25,0.61,0,0,65
Randall Cobb,38,441,3,6,0,34,20,0.526,0,0,48
Michael Thomas,40,438,0,5,0,24,25,0.625,0,0,55
David Montgomery,54,438,2,2,0,28,25,0.463,1,0,68
Dan Arnold,31,438,4,8,2,59,24,0.774,2,0,45
Austin Hooper,46,435,4,3,0,36,27,0.587,0,0,70
Willie Snead,33,432,3,7,0,34,23,0.697,1,0,48
Sammy Watkins,37,421,2,4,0,37,27,0.73,1,0,55
Greg Ward,53,419,6,3,0,32,24,0.453,1,0,79
David Moore,35,417,6,5,3,57,18,0.514,0,0,47
Gerald Everett,41,417,1,3,1,40,24,0.585,1,0,62
Larry Fitzgerald,54,409,1,0,0,18,25,0.463,0,0,72
Austin Ekeler,54,403,2,2,0,28,20,0.37,0,0,65
Jordan Akins,37,403,1,7,0,26,20,0.541,0,0,49
Chase Edmonds,53,402,4,2,0,30,21,0.396,1,0,67
Keke Coutee,33,400,3,3,2,64,18,0.545,3,0,40
Tyron Johnson,20,398,3,7,4,55,15,0.75,0,0,26
Jalen Reagor,31,396,1,4,1,55,19,0.613,0,0,54
Richie James,23,394,1,7,4,47,14,0.609,0,0,35
Braxton Berrios,37,394,3,6,1,43,19,0.514,0,0,55
Mo Alie-Cox,31,394,2,6,1,45,19,0.613,1,0,39
James Washington,30,392,5,5,1,50,19,0.633,0,0,54
Deebo Samuel,33,391,1,8,0,35,19,0.576,0,0,44
Golden Tate,35,388,2,5,0,39,19,0.543,0,0,52
Myles Gaskin,41,388,2,3,1,59,12,0.293,0,0,47
Anthony Firkser,39,387,1,4,1,45,26,0.667,0,0,53
K.J. Hamler,30,381,3,5,1,49,17,0.567,1,0,56
James White,49,375,1,4,0,34,20,0.408,0,0,62
Jakeem Grant,36,373,1,3,0,30,22,0.611,0,0,54
Mike Davis,59,373,2,4,0,23,17,0.288,0,0,70
Irv Smith,30,365,5,6,0,36,22,0.733,0,0,43
Dalvin Cook,44,361,1,4,1,50,17,0.386,1,0,54
D'Andre Swift,46,357,2,1,0,26,15,0.326,1,0,57
Denzel Mims,23,357,0,6,0,30,15,0.652,0,0,44
Aaron Jones,47,355,2,4,0,30,15,0.319,1,0,63
Giovani Bernard,47,355,3,3,1,42,15,0.319,0,0,58
Drew Sample,40,349,1,1,0,23,16,0.4,1,0,53
Tyler Eifert,36,349,2,1,0,28,22,0.611,0,0,60
Quintez Cephus,20,349,2,7,1,49,16,0.8,0,0,35
Richard Rodgers,24,345,2,5,0,33,16,0.667,0,0,31
