Player,KO,Yds,Yds.1,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Dustin Hopkins,131,8298,676,93,0.71,34,19.9,2,0,0,0
Matt Gay,102,6309,646,65,0.637,30,21.5,3,0,4,0
Greg Zuerlein,100,6422,468,80,0.8,18,26.0,1,0,1,0
Tyler Bass,99,6216,737,56,0.566,40,18.4,1,0,2,0
Matt Prater,96,5958,390,73,0.76,18,21.7,5,1,0,0
Jake Elliott,96,6077,875,61,0.635,33,26.5,2,0,0,0
Rigoberto Sanchez,95,5974,988,47,0.495,46,21.5,2,0,0,0
Greg Joseph,94,6004,383,76,0.809,17,22.5,1,0,0,0
Mason Crosby,94,6031,1283,43,0.457,50,25.7,0,0,1,0
Harrison Butker,93,5853,597,61,0.656,32,18.7,0,0,0,0
Jake Bailey,93,5886,1038,41,0.441,49,21.2,0,0,3,0
Evan McPherson,91,5814,755,55,0.604,35,21.6,0,0,1,0
Justin Tucker,90,5443,724,47,0.522,39,18.6,3,1,1,1
Bradley Pinion,90,5770,474,71,0.789,17,27.9,1,0,1,0
Randy Bullock,89,5682,790,50,0.562,39,20.3,0,0,0,0
Daniel Carlson,87,5560,742,53,0.609,33,22.5,0,0,1,1
Chris Boswell,86,5464,1090,40,0.465,45,24.2,0,0,1,0
Jason Myers,82,5080,972,31,0.378,49,19.8,1,0,1,0
Jason Sanders,78,4969,420,56,0.718,20,21.0,1,0,1,0
Brandon McManus,78,4975,551,62,0.795,14,39.4,2,1,0,2
Joey Slye,73,4651,634,45,0.616,28,22.6,0,0,0,0
Cairo Santos,71,4443,750,34,0.479,35,21.4,2,1,0,0
Chase McLaughlin,69,4347,747,31,0.449,37,20.2,1,0,0,0
Graham Gano,64,3966,653,27,0.422,36,18.1,0,0,1,0
Brian Johnson,58,3541,531,28,0.483,28,19.0,2,0,0,0
Younghoe Koo,56,3508,553,29,0.518,25,22.1,1,0,1,0
Zane Gonzalez,55,3568,559,35,0.636,20,28.0,0,0,0,0
Mitch Wishnowsky,54,3367,768,21,0.389,32,24.0,1,0,0,1
Matt Ammendola,45,2734,321,27,0.6,16,20.1,2,0,1,0
Ka'imi Fairbairn,44,2657,507,16,0.364,25,20.3,2,1,1,0
Brett Maher,37,2245,379,18,0.486,17,22.3,2,0,0,0
Jack Fox,35,2209,378,19,0.543,15,25.2,1,0,0,0
Matthew Wright,31,1870,755,5,0.161,26,29.0,1,0,0,2
Tristan Vizcaino,31,1996,438,13,0.419,18,24.3,0,0,0,0
Cameron Nizialek,30,1892,514,12,0.4,18,28.6,0,0,0,2
Austin Seibert,26,1328,291,5,0.192,16,18.2,6,2,0,0
Ryan Santoso,25,1614,68,22,0.88,3,22.7,0,0,0,0
Braden Mann,23,1441,32,20,0.87,3,10.7,1,0,0,0
Aldrick Rosas,22,1422,70,18,0.818,4,17.5,0,0,0,0
Robbie Gould,21,1328,265,8,0.381,13,20.4,0,0,0,0
Logan Cooke,21,1335,313,10,0.476,10,31.3,0,0,1,1
Elliott Fry,20,1222,171,11,0.55,8,21.4,1,0,0,0
Lirim Hajrullahu,17,1100,138,12,0.706,5,27.6,0,0,0,0
Sterling Hofrichter,14,894,195,6,0.429,8,24.4,0,0,0,0
Josh Lambo,10,617,47,7,0.7,2,23.5,1,0,0,0
Nick Folk,10,611,128,4,0.4,6,21.3,0,0,0,0
Dominik Eberle,8,504,105,3,0.375,5,21.0,0,0,0,0
Chris Blewitt,6,334,0,5,0.833,0,0.0,1,0,0,0
Mike Badgley,6,382,44,4,0.667,2,22.0,0,0,0,0
Chris Naggar,5,317,44,3,0.6,2,22.0,0,0,0,0
Riley Dixon,5,102,6,0,0.0,1,6.0,4,1,0,0
Ryan Winslow,4,258,71,0,0.0,4,17.8,0,0,0,0
Alex Kessman,4,246,39,1,0.25,3,13.0,0,0,0,0
Brandon Zylstra,3,146,49,0,0.0,3,16.3,0,0,0,0
Cody Parkey,3,195,48,1,0.333,2,24.0,0,0,0,0
Tress Way,2,124,54,0,0.0,2,27.0,0,0,0,0
Riley Patterson,2,14,0,0,0.0,0,0.0,2,1,0,0
Thomas Morstead,2,26,0,0,0.0,0,0.0,2,0,0,0
Pressley Harvin III,2,101,10,0,0.0,1,10.0,0,0,1,0
Blake Gillikin,2,130,0,2,1.0,0,0.0,0,0,0,0
Arryn Siposs,1,58,13,0,0.0,1,13.0,0,0,0,0
Michael Palardy,1,58,15,0,0.0,1,15.0,0,0,0,0
Andy Lee,1,55,15,0,0.0,1,15.0,0,0,0,0
Matt Haack,1,53,2,0,0.0,1,2.0,0,0,0,0
Michael Dickson,1,58,14,0,0.0,1,14.0,0,0,0,0
