Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Corliss Waitman,52.1,42.6,298,7,63,365,1,0,1,1,0,5,47,0,0
A.J. Cole,50.0,42.5,2721,64,71,3202,28,7,5,7,17,28,341,0,0
Jack Fox,49.2,42.3,2750,65,70,3198,17,2,11,7,10,35,308,0,0
Andy Lee,49.0,41.9,2136,51,62,2501,12,3,5,5,8,30,265,0,0
Matt Ammendola,48.5,42.5,255,6,65,291,2,2,0,0,1,3,36,0,0
Bryan Anger,48.4,44.6,2900,65,63,3143,24,5,7,4,24,25,163,0,0
Tress Way,48.4,42.1,2524,60,66,2901,22,5,8,7,14,26,237,0,1
Lachlan Edwards,47.9,41.6,1581,38,62,1821,8,2,2,2,9,23,200,0,1
Blake Gillikin,47.7,42.0,3485,83,63,3956,29,7,11,4,18,43,391,0,0
Thomas Morstead,47.5,42.4,2881,68,182,3231,25,4,6,2,27,29,310,0,0
Logan Cooke,47.3,44.3,2833,64,68,3026,28,8,8,1,26,21,173,0,1
Jake Bailey,47.3,42.0,2058,49,71,2316,23,8,6,6,13,16,138,0,3
Tommy Townsend,47.2,43.8,1622,37,68,1746,20,4,5,3,9,16,64,0,0
Michael Dickson,46.9,41.7,3461,83,68,3895,40,6,13,10,22,32,234,0,0
Cameron Johnston,46.7,41.7,3673,88,69,4108,37,7,10,4,22,45,355,0,0
Corey Bojorquez,46.5,40.0,2119,53,82,2467,18,9,7,4,12,21,268,1,0
Jordan Berry,46.5,41.3,3225,78,64,3624,26,11,10,3,15,39,339,1,1
Kevin Huber,46.4,41.0,2709,66,61,3064,22,10,7,6,15,28,235,0,0
Pat O'Donnell,46.2,38.5,2390,62,72,2865,19,3,7,5,13,34,375,0,0
Sam Martin,46.0,42.8,2869,67,68,3083,28,9,7,3,24,24,154,0,0
Braden Mann,45.7,41.6,1704,41,63,1875,14,9,9,1,6,16,151,0,1
Dustin Colquitt,45.5,40.2,2851,71,188,3230,20,12,7,4,17,31,299,0,2
Ty Long,45.5,37.6,1728,46,69,2091,11,6,4,2,5,29,323,0,1
Cameron Nizialek,45.4,39.8,716,18,62,817,6,3,3,2,3,7,61,0,0
Mitch Wishnowsky,45.0,40.5,2310,57,67,2566,21,7,10,5,15,20,156,0,0
Robbie Gould,45.0,45.0,90,2,47,90,1,0,1,0,1,0,0,0,0
Brett Kern,44.8,40.4,1900,47,59,2105,18,10,7,1,11,18,185,0,0
Michael Palardy,44.7,40.1,3127,78,65,3489,31,4,12,5,27,30,262,0,0
Rigoberto Sanchez,44.5,39.7,2340,59,79,2627,24,7,8,1,15,28,267,0,0
Riley Dixon,44.4,39.5,2926,74,63,3283,24,8,17,6,15,28,237,0,0
Sam Koch,44.4,40.0,2841,71,61,3149,26,10,10,4,16,31,228,0,0
Johnny Hekker,44.2,42.6,2172,51,59,2252,23,8,8,1,25,9,60,0,0
Arryn Siposs,43.9,38.7,2131,55,68,2416,17,6,10,3,12,24,225,0,0
Jamie Gillan,43.9,39.5,1660,42,65,1842,15,7,3,1,12,19,162,0,0
Matt Haack,42.9,38.3,1994,52,63,2230,18,8,9,7,11,17,96,0,1
Johnny Townsend,42.8,36.8,478,13,113,556,2,2,0,1,5,5,58,0,0
Pressley Harvin III,42.6,38.0,2661,70,64,2982,25,15,6,3,19,27,261,0,0
Bradley Pinion,42.5,38.9,2176,56,65,2378,23,8,8,2,17,21,162,0,0
Zane Gonzalez,40.0,20.0,20,1,40,40,0,0,0,1,0,0,0,0,0
J.K. Scott,39.8,39.8,159,4,47,159,0,0,0,0,4,0,0,0,0
Joseph Charlton,39.6,37.7,2489,66,219,2615,24,7,6,1,42,10,106,0,3
Ryan Winslow,39.1,37.6,677,18,209,703,3,3,3,0,3,9,26,0,0
Sterling Hofrichter,37.8,34.2,205,6,45,227,3,0,0,0,4,2,22,0,0
Younghoe Koo,35.0,35.0,70,2,45,70,0,1,1,0,0,0,0,0,0
Tristan Vizcaino,32.0,26.0,26,1,32,32,1,0,0,0,0,1,6,0,0
Harrison Butker,31.0,31.0,31,1,31,31,1,0,1,0,0,0,0,0,0
