Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Jonathan Taylor,1811,332,18,14,5,83,107,3.103,3
Nick Chubb,1259,228,8,12,2,70,61,3.738,2
Joe Mixon,1205,292,13,6,0,32,60,4.867,1
Najee Harris,1200,307,7,6,0,37,62,4.952,0
Dalvin Cook,1159,249,6,9,1,66,57,4.368,3
Antonio Gibson,1037,258,7,4,0,27,65,3.969,5
Ezekiel Elliott,1002,237,10,3,1,47,55,4.309,1
Elijah Mitchell,963,207,5,6,0,39,47,4.404,0
Derrick Henry,937,219,10,3,2,76,49,4.469,1
Damien Harris,929,202,15,8,1,64,55,3.673,2
Melvin Gordon,918,203,8,3,2,70,48,4.229,3
Austin Ekeler,911,206,12,3,0,28,53,3.887,0
Javonte Williams,903,203,4,6,1,49,52,3.904,2
Alvin Kamara,898,240,4,3,0,30,42,5.714,0
Josh Jacobs,872,217,9,2,0,28,45,4.822,2
Devin Singletary,870,188,7,6,2,46,44,4.273,2
David Montgomery,849,225,7,5,1,41,55,4.091,1
Mark Ingram,848,252,3,3,0,76,35,7.2,1
Sony Michel,845,208,4,2,0,39,49,4.245,1
Leonard Fournette,812,180,8,5,1,47,45,4.0,0
A.J. Dillon,803,187,5,2,0,36,50,3.74,1
Aaron Jones,799,171,4,5,1,57,37,4.622,1
Jalen Hurts,784,139,10,7,0,31,56,2.482,3
James Robinson,767,164,8,4,1,58,41,4.0,2
Lamar Jackson,767,133,2,5,0,31,48,2.771,3
Josh Allen,763,122,6,9,0,34,53,2.302,5
Miles Sanders,754,137,0,7,0,38,33,4.152,1
James Conner,752,202,15,3,0,35,53,3.811,2
Rashaad Penny,749,119,6,11,2,62,28,4.25,0
Tony Pollard,719,130,2,4,1,58,35,3.714,0
Darrell Henderson,688,149,5,1,0,29,39,3.821,0
Michael Carter,639,147,4,3,1,55,29,5.069,0
Cordarrelle Patterson,618,153,6,2,0,39,29,5.276,1
D'Andre Swift,617,151,5,3,1,57,28,5.393,0
Chuba Hubbard,612,172,5,3,0,26,36,4.778,1
Myles Gaskin,612,173,3,2,0,30,25,6.92,2
Rhamondre Stevenson,606,133,5,1,0,21,33,4.03,1
Jamaal Williams,601,153,3,1,0,20,42,3.643,1
Devontae Booker,593,145,2,3,0,31,31,4.677,0
Saquon Barkley,593,162,2,3,1,41,27,6.0,1
Chase Edmonds,592,116,2,3,2,54,32,3.625,0
Devonta Freeman,576,133,5,4,0,32,31,4.29,0
D'Onta Foreman,566,133,3,4,0,35,22,6.045,2
Darrel Williams,558,144,6,1,0,21,40,3.6,0
D'Ernest Johnson,534,100,3,4,0,30,24,4.167,0
Clyde Edwards-Helaire,517,119,4,0,0,17,21,5.667,2
Mike Davis,503,138,3,0,0,18,21,6.571,2
Latavius Murray,501,119,6,3,1,46,36,3.306,0
Alexander Mattison,491,134,3,2,1,48,28,4.786,1
Christian McCaffrey,442,99,1,0,0,18,19,5.211,1
Khalil Herbert,433,103,2,4,0,29,24,4.292,0
Ronald Jones,428,101,4,1,0,30,25,4.04,2
Rex Burkhead,427,122,3,2,0,36,30,4.067,1
Kyler Murray,423,88,5,1,1,57,25,3.52,10
Justin Fields,420,72,2,3,0,23,22,3.273,4
Alex Collins,411,108,2,2,0,25,22,4.909,0
Jordan Howard,406,86,3,1,0,25,24,3.583,0
Kareem Hunt,386,78,5,2,0,33,22,3.545,0
Patrick Mahomes,381,66,2,4,0,32,25,2.64,3
Taysom Hill,374,70,5,3,1,44,26,2.692,1
Boston Scott,373,87,7,2,0,23,24,3.625,1
Deebo Samuel,365,59,8,5,1,49,21,2.81,0
Justin Jackson,364,68,2,2,1,75,18,3.778,1
Tevin Coleman,356,84,0,1,0,20,19,4.421,0
Dontrell Hilliard,350,56,2,2,1,68,15,3.733,1
Zack Moss,345,96,4,0,0,17,22,4.364,0
Trevor Lawrence,334,73,2,1,0,26,21,3.476,2
Duke Johnson,330,71,3,1,0,27,18,3.944,0
Taylor Heinicke,313,60,1,2,0,38,20,3.0,3
Justin Herbert,302,63,3,1,0,36,28,2.25,0
Daniel Jones,298,62,2,2,1,46,16,3.875,2
Jeff Wilson,294,79,2,0,0,17,19,4.158,1
Tyler Huntley,294,47,2,1,0,21,22,2.136,1
Kenneth Gainwell,291,68,5,0,0,18,19,3.579,1
Nyheim Hines,276,56,2,2,0,34,15,3.733,0
Ryan Tannehill,270,55,7,2,0,28,32,1.719,4
Jaret Patterson,266,68,2,0,0,13,15,4.533,1
Derrick Gore,256,51,2,2,1,51,12,4.25,0
Kenyan Drake,254,62,2,1,0,21,15,4.133,0
Carlos Hyde,253,72,1,0,0,18,14,5.143,2
Phillip Lindsay,249,88,1,1,0,44,11,8.0,0
Samaje Perine,246,55,1,2,1,46,11,5.0,0
Royce Freeman,246,77,0,0,0,39,12,6.417,0
Ty Johnson,238,61,2,2,0,24,13,4.692,1
Chris Carson,232,54,3,2,0,33,11,4.909,1
Craig Reynolds,230,55,0,2,0,35,11,5.0,0
Cam Newton,230,47,5,2,0,33,19,2.474,4
David Johnson,228,67,0,0,0,15,7,9.571,1
Brandon Bolden,226,44,1,2,0,24,12,3.667,1
Sam Darnold,222,48,5,2,0,30,21,2.286,2
Carson Wentz,215,57,1,0,0,18,21,2.714,4
J.D. McKissic,212,48,2,0,0,15,14,3.429,0
Peyton Barber,212,55,2,1,0,27,12,4.583,1
Wayne Gallman,208,56,0,0,0,34,10,5.6,0
Ameer Abdullah,196,58,0,0,0,33,8,7.25,0
Zach Wilson,185,29,4,3,1,52,10,2.9,0
Ty'Son Williams,185,35,1,2,0,35,7,5.0,1
Le'Veon Bell,184,70,4,0,0,31,17,4.118,0
Russell Wilson,183,43,2,0,0,17,17,2.529,2
Ke'Shawn Vaughn,180,36,2,1,1,55,9,4.0,0
Travis Homer,177,21,1,2,1,73,7,3.0,0
Trey Lance,168,38,1,0,0,15,8,4.75,0
Trey Sermon,167,41,1,0,0,16,9,4.556,0
Jameis Winston,166,32,1,1,0,20,17,1.882,0
Damien Williams,164,40,2,1,0,23,11,3.636,0
Jeremy McNichols,156,41,0,0,0,14,6,6.833,0
Tyrod Taylor,151,19,3,2,0,30,7,2.714,3
Salvon Ahmed,149,54,0,0,0,16,8,6.75,0
Dak Prescott,146,48,1,1,0,21,7,6.857,7
Tony Jones,142,54,0,0,0,11,7,7.714,0
Corey Clement,140,33,0,1,0,38,7,4.714,0
DeeJay Dallas,138,33,2,0,0,15,10,3.3,0
Dare Ogunbowale,137,43,1,0,0,12,5,8.6,0
Baker Mayfield,134,37,1,0,0,14,12,3.083,1
Mac Jones,129,44,0,0,0,13,22,2.0,3
Tua Tagovailoa,128,42,3,1,0,23,13,3.231,2
Malcolm Brown,125,33,1,1,0,24,6,5.5,0
Matt Breida,125,26,1,1,0,28,5,5.2,1
Kendrick Bourne,125,12,0,0,0,18,7,1.714,0
Godwin Igwebuike,118,16,1,1,1,42,7,2.286,1
Joe Burrow,118,40,2,0,0,12,14,2.857,1
Eno Benjamin,118,34,1,1,0,21,4,8.5,0
Kirk Cousins,115,29,1,1,0,29,8,3.625,2
Jamal Agnew,111,7,1,1,1,66,3,2.333,0
Derek Carr,108,40,0,1,0,22,9,4.444,4
Teddy Bridgewater,106,30,2,0,0,13,16,1.875,1
Qadree Ollison,105,21,1,0,0,19,7,3.0,1
Joshua Kelley,102,33,0,0,0,14,5,6.6,1
Austin Walter,101,26,1,0,0,14,5,5.2,0
Aaron Rodgers,101,33,3,0,0,18,10,3.3,2
Marlon Mack,101,28,0,1,0,22,6,4.667,0
Elijhaa Penny,99,24,1,0,0,12,9,2.667,0
Benny Snell,98,36,0,0,0,9,2,18.0,0
Adrian Peterson,98,38,2,0,0,23,6,6.333,1
Tyreek Hill,96,9,0,1,0,33,4,2.25,0
Chase Claypool,96,14,0,1,0,25,7,2.0,0
Patrick Taylor,89,23,1,0,0,12,5,4.6,0
DeAndre Carter,89,10,0,1,0,27,4,2.5,1
Larry Rountree III,87,36,1,0,0,13,5,7.2,0
Marcus Mariota,87,13,1,1,0,31,6,2.167,1
Jared Goff,87,17,0,1,0,26,4,4.25,3
Matt Ryan,82,40,1,0,0,17,9,4.444,5
Tom Brady,81,28,2,0,0,13,14,2.0,1
Ryquell Armstead,80,15,0,1,0,26,3,5.0,0
Jonathan Williams,79,17,1,1,0,23,7,2.429,0
Chris Evans,77,17,0,0,0,13,3,5.667,0
Rondale Moore,76,18,0,1,0,26,2,9.0,0
CeeDee Lamb,76,9,0,1,0,33,4,2.25,0
Andy Dalton,76,16,0,0,0,14,2,8.0,0
Jermar Jefferson,74,15,2,1,0,28,4,3.75,0
Jacoby Brissett,70,19,1,0,0,19,9,2.111,0
JaMycal Hasty,68,16,1,1,0,21,6,2.667,0
Jake Fromm,65,8,0,1,0,27,4,2.0,0
Jerick McKinnon,62,12,0,0,0,18,2,6.0,0
Amon-Ra St. Brown,61,7,1,1,0,26,2,3.5,0
Kene Nwangwu,61,13,0,0,0,19,3,4.333,0
D'Wayne Eskridge,59,4,0,1,0,30,2,2.0,0
Giovani Bernard,58,8,0,1,0,24,3,2.667,0
Elijah Moore,54,5,1,0,0,19,3,1.667,0
Mason Rudolph,53,5,0,1,0,26,3,1.667,0
Drew Lock,53,10,2,1,0,23,5,2.0,1
Diontae Johnson,53,5,0,1,0,25,2,2.5,0
Trayveon Williams,51,15,0,0,0,10,4,3.75,0
Jason Huntley,51,13,0,0,0,18,2,6.5,0
Jimmy Garoppolo,51,38,3,0,0,7,15,2.533,4
Devin Duvernay,50,7,0,0,0,19,3,2.333,0
D.J. Moore,48,8,0,0,0,14,4,2.0,0
Isaiah McKenzie,47,9,1,0,0,10,4,2.25,0
Robert Woods,46,8,1,0,0,16,1,8.0,0
Mecole Hardman,46,8,0,1,0,24,2,4.0,1
Michael Pittman,44,5,0,1,0,25,1,5.0,0
Ty Montgomery,44,15,0,0,0,9,2,7.5,0
Davis Mills,44,18,0,0,0,11,5,3.6,0
Matthew Stafford,43,32,0,0,0,12,8,4.0,1
Scott Miller,43,2,1,1,0,33,2,1.0,0
Geno Smith,42,9,1,0,0,12,3,3.0,0
Alex Armah,42,10,0,0,0,18,8,1.25,0
Laviska Shenault Jr.,41,11,0,0,0,11,2,5.5,0
Deonte Harris,41,5,0,1,0,22,1,5.0,0
Jonnu Smith,40,9,0,0,0,9,2,4.5,0
