Player,FF,FR,FR TD
Bruce Irvin,6,0,0
Vic Beasley,6,1,1
Cameron Wake,5,0,0
Keanu Neal,5,1,0
Khalil Mack,5,3,0
Cliff Avril,5,0,0
Yannick Ngakoue,4,0,0
Byron Maxwell,4,0,0
Chandler Jones,4,2,0
David Irving,4,1,0
Melvin Ingram,4,0,0
Markus Golden,4,1,0
Lavonte David,4,2,0
T.J. Ward,3,2,0
Erik Walden,3,0,0
Korey Toomer,3,1,0
Terrell Suggs,3,0,0
Noah Spence,3,0,0
Ryan Shazier,3,1,0
Orlando Scandrick,3,0,0
Ahtyba Rubin,3,0,0
Brian Robison,3,0,0
Jason Pierre-Paul,3,1,1
Trent Murphy,3,1,0
Von Miller,3,0,0
Robert Mathis,3,2,1
Linval Joseph,3,0,0
Charles Johnson,3,0,0
Carlos Dunlap,3,0,0
Lorenzo Alexander,3,0,0
Leonard Williams,2,0,0
Kenny Vaccaro,2,1,0
Stephon Tuitt,2,0,0
Desmond Trufant,2,0,0
Michael Thomas,2,0,0
Nate Stupar,2,2,0
Daniel Sorensen,2,3,0
Malcolm Smith,2,1,0
Anthony Sherman,2,0,0
Perry Riley,2,0,0
Keith Reaser,2,0,0
Robert Quinn,2,0,0
Julius Peppers,2,1,0
Ron Parker,2,0,0
Josh Norman,2,0,0
Sio Moore,2,0,0
Rontez Miles,2,0,0
Rashaan Melvin,2,0,0
Stacy McGee,2,0,0
Gerald McCoy,2,2,0
Terrell McClain,2,0,0
Bennie Logan,2,1,0
A.J. Klein,2,0,0
Ryan Kerrigan,2,0,0
Jarvis Jones,2,1,0
Cam Johnson,2,0,0
Tony Jefferson,2,2,0
Wes Horton,2,2,0
Akiem Hicks,2,1,0
James Harrison,2,0,0
LaDarius Gunter,2,0,0
Everson Griffen,2,3,1
Brandon Graham,2,1,0
Phillip Gaines,2,0,0
Dominique Easley,2,0,0
Kony Ealy,2,0,0
Elvis Dumervil,2,1,0
Aaron Donald,2,0,0
Jared Crick,2,0,0
Jamie Collins,2,0,0
Frank Clark,2,1,0
Anthony Chickillo,2,0,0
Calais Campbell,2,3,1
Zach Brown,2,0,0
Jatavis Brown,2,1,0
Terrence Brooks,2,0,0
Bashaud Breeland,2,0,0
Andre Branch,2,0,0
Nigel Bradham,2,1,0
Vonn Bell,2,1,0
Chris Baker,2,0,0
Mario Addison,2,1,0
Mike Adams,2,2,0
Frank Zombo,1,0,0
Willie Young,1,0,0
K.J. Wright,1,1,0
Ramik Wilson,1,2,0
Avery Williamson,1,0,0
Marcus Williams,1,0,0
Muhammad Wilkerson,1,0,0
Michael Wilhoite,1,1,0
J.J. Wilcox,1,0,0
Kyle Wilber,1,2,0
Donte Whitner,1,0,0
Eric Weddle,1,0,0
Dekoda Watson,1,0,0
Jimmie Ward,1,1,0
Olivier Vernon,1,1,0
Kyle Van Noy,1,0,0
Destiny Vaeao,1,0,0
Courtney Upshaw,1,1,0
Mike Tolbert,1,0,0
Lawrence Timmons,1,0,0
Khyri Thornton,1,0,0
Cedric Thornton,1,1,0
Mike Thomas,1,0,0
Julius Thomas,1,0,0
Devin Taylor,1,0,0
Darian Stewart,1,1,0
C.J. Spiller,1,0,0
Sean Spence,1,0,0
Za'Darius Smith,1,0,0
Steve Smith,1,0,0
Darius Slay,1,0,0
John Simon,1,0,0
Kawann Short,1,0,0
DeShawn Shead,1,0,0
Coty Sensabaugh,1,0,0
Logan Ryan,1,0,0
Frostee Rucker,1,0,0
Dominique Rodgers-Cromartie,1,0,0
Bradley Roby,1,0,0
Patrick Robinson,1,0,0
Nickell Robey-Coleman,1,1,1
Elandon Roberts,1,0,0
Christian Ringo,1,0,0
Sheldon Richardson,1,2,0
Xavier Rhodes,1,0,0
Eric Reid,1,0,0
Brooks Reed,1,0,0
Shane Ray,1,2,1
Sheldon Rankins,1,0,0
Jalen Ramsey,1,0,0
Glover Quin,1,0,0
Ryan Quigley,1,0,0
Mike Purcell,1,0,0
Calvin Pryor,1,0,0
Walt Powell,1,0,0
Tracy Porter,1,0,0
Dontari Poe,1,0,0
Marcus Peters,1,3,0
Joshua Perry,1,0,0
Zach Orr,1,2,0
Brian Orakpo,1,0,0
Patrick Onwuasor,1,0,0
Alex Okafor,1,1,0
Alec Ogletree,1,1,0
Jared Odrick,1,0,0
Ty Nsekhe,1,0,0
Rob Ninkovich,1,0,0
Captain Munnerlyn,1,0,0
C.J. Mosley,1,0,0
Ifeanyi Momah,1,1,0
Whitney Mercilus,1,4,0
Steven Means,1,0,0
Pernell McPhee,1,0,0
Josh McNary,1,0,0
Rodney McLeod,1,0,0
Steve McLendon,1,0,0
Benardrick McKinney,1,0,0
Sean McGrath,1,0,0
T.Y. McGill,1,0,0
Lerentee McCray,1,0,0
Devin McCourty,1,1,0
Bobby McCain,1,0,0
Benson Mayowa,1,1,0
Michael Mauti,1,0,0
Clay Matthews,1,0,0
Tyrann Mathieu,1,0,0
Kareem Martin,1,0,0
Brandon Marshall,1,1,0
Cassius Marsh,1,1,0
Dwight Lowery,1,1,1
Kyle Love,1,1,0
Ricardo Louis,1,0,0
Star Lotulelei,1,0,0
Chris Long,1,1,0
Brandon Linder,1,0,0
Roger Lewis,1,0,0
Kendrick Lewis,1,0,0
Corey Lemonier,1,1,0
Shaq Lawson,1,0,0
DeMarcus Lawrence,1,0,0
DaVonte Lambert,1,0,0
Nick Kwiatkoski,1,0,0
Luke Kuechly,1,0,0
Paul Kruger,1,2,0
Devon Kennard,1,1,0
Eric Kendricks,1,1,0
Lamarcus Joyner,1,0,0
Johnathan Joseph,1,0,0
Cameron Jordan,1,0,0
Jonathan Jones,1,1,0
Deion Jones,1,0,0
Byron Jones,1,0,0
Adam Jones,1,0,0
Steven Johnson,1,0,0
Rashad Johnson,1,0,0
Jordan Jenkins,1,1,0
Janoris Jenkins,1,0,0
Cory James,1,0,0
Danielle Hunter,1,1,1
Jerry Hughes,1,0,0
Xavien Howard,1,0,0
Justin Houston,1,0,0
Ziggy Hood,1,0,0
Gerald Hodges,1,1,0
Dont'a Hightower,1,0,0
Darrius Heyward-Bey,1,0,0
D.J. Hayden,1,0,0
Stephen Hauschka,1,0,0
Damon Harrison,1,0,0
Chris Harris,1,1,0
Eli Harold,1,1,0
Duron Harmon,1,1,0
Vernon Hargreaves III,1,0,0
Johnathan Hankins,1,0,0
Leon Hall,1,0,0
Lawrence Guy,1,1,0
Jonathan Grimes,1,0,0
Brent Grimes,1,0,0
B.J. Goodson,1,0,0
Jacoby Glenn,1,0,0
Marcus Gilchrist,1,0,0
William Gholston,1,1,0
Clayton Geathers,1,0,0
William Gay,1,0,0
E.J. Gaines,1,1,0
Nolan Frese,1,0,0
Jonathan Freeny,1,0,0
Morgan Fox,1,1,0
Mason Foster,1,0,0
Dee Ford,1,0,0
Leonard Floyd,1,1,1
Kyler Fackrell,1,0,0
Kyle Emanuel,1,1,0
Nate Ebner,1,0,0
Bud Dupree,1,0,0
Quandre Diggs,1,0,0
Quintin Demps,1,0,0
Todd Davis,1,1,0
Thomas Davis,1,2,1
Kellen Davis,1,0,0
Demario Davis,1,0,0
Johnathan Cyprien,1,1,0
Ken Crawley,1,1,0
Fletcher Cox,1,1,0
Kamalei Correa,1,0,0
Brandon Copeland,1,0,0
Will Compton,1,2,0
Maliek Collins,1,1,0
Kurt Coleman,1,0,0
Randall Cobb,1,1,0
Jadeveon Clowney,1,0,0
Ha Ha Clinton-Dix,1,0,0
Barry Church,1,0,0
Kam Chancellor,1,0,0
Garrett Celek,1,0,0
Jonathan Casillas,1,0,0
Nolan Carroll,1,0,0
T.J. Carrie,1,1,0
Don Carey,1,0,0
De'Vondre Campbell,1,0,0
Malcolm Butler,1,2,0
Darius Butler,1,0,0
Trey Burton,1,1,0
Rex Burkhead,1,0,0
Vontaze Burfict,1,0,0
Armonty Bryant,1,0,0
Preston Brown,1,2,0
Malcom Brown,1,0,0
Anthony Brown,1,0,0
Ahmad Brooks,1,0,0
Tramaine Brock,1,0,0
Alan Branch,1,0,0
NaVorro Bowman,1,0,0
Joey Bosa,1,0,0
Brandon Bolden,1,0,0
Will Blackmon,1,0,0
Justin Bethel,1,1,0
Antoine Bethea,1,1,0
Eric Berry,1,0,0
Nat Berhe,1,0,0
Nick Bellore,1,1,0
Josh Bellamy,1,0,0
Connor Barwin,1,0,0
Shaquil Barrett,1,0,0
Anthony Barr,1,1,0
Robert Ayers,1,0,0
Arik Armstead,1,0,0
Eli Apple,1,1,0
Zaire Anderson,1,0,0
Adrian Amos,1,1,0
Tyson Alualu,1,0,0
Kiko Alonso,1,4,0
Kwon Alexander,1,1,0
D.J. Alexander,1,0,0
Jude Adjei-Barimah,1,0,0
Sam Acho,1,0,0
