Player,INT,INT TD,INT Yds,Lng
Casey Hayward,7,1,102,31
Dominique Rodgers-Cromartie,6,0,28,28
Marcus Peters,6,0,63,28
Quintin Demps,6,0,54,19
Xavier Rhodes,5,1,133,100
Reggie Nelson,5,0,74,40
Jordan Hicks,5,0,41,34
Stephon Gilmore,5,0,135,49
Landon Collins,5,1,72,44
Ha Ha Clinton-Dix,5,0,75,27
Eric Weddle,4,0,92,53
Keith Tandy,4,0,28,28
Richard Sherman,4,0,37,31
C.J. Mosley,4,0,40,28
Tony Lippett,4,0,0,0
Brent Grimes,4,1,37,31
Marcus Cooper,4,1,95,60
Kurt Coleman,4,1,57,37
Malcolm Butler,4,0,28,21
Eric Berry,4,2,98,42
Shawn Williams,3,0,14,13
Trae Waynes,3,0,4,4
Jamar Taylor,3,0,43,29
Aqib Talib,3,1,86,46
D.J. Swearinger,3,0,13,12
Darian Stewart,3,0,36,25
Daniel Sorensen,3,1,48,48
Ryan Shazier,3,0,0,0
Damarious Randall,3,0,91,44
Patrick Peterson,3,0,27,25
Zach Orr,3,0,23,14
Josh Norman,3,0,38,35
Rodney McLeod,3,0,5,5
Dre Kirkpatrick,3,0,21,21
Deion Jones,3,2,165,90
Malcolm Jenkins,3,2,98,64
Janoris Jenkins,3,0,26,23
George Iloka,3,0,21,21
Micah Hyde,3,0,11,11
Joe Haden,3,0,9,9
Thomas Davis,3,0,35,31
Perrish Cox,3,0,3,3
Darius Butler,3,0,19,19
Artie Burns,3,0,13,9
Bashaud Breeland,3,0,32,26
Briean Boddy-Calhoun,3,1,94,67
Tavon Wilson,2,0,23,18
Marcus Williams,2,0,14,14
Corey White,2,0,0,0
Kenny Vaccaro,2,0,30,30
Tavon Young,2,0,22,16
Lawrence Timmons,2,0,74,58
Earl Thomas,2,0,5,5
Telvin Smith,2,0,0,0
Sean Smith,2,0,27,27
Darius Slay,2,0,24,13
Justin Simmons,2,0,83,45
Andrew Sendejo,2,0,18,16
Logan Ryan,2,0,46,46
Bradley Roby,2,2,102,51
Nickell Robey-Coleman,2,1,44,41
Trovon Reed,2,0,6,3
Jalen Ramsey,2,1,65,35
Glover Quin,2,0,0,0
Jerraud Powers,2,0,1,1
Tracy Porter,2,0,28,25
Alec Ogletree,2,0,15,8
Sterling Moore,2,0,8,8
Leodis McKelvin,2,1,29,29
Bradley McDougald,2,0,32,32
T.J. McDonald,2,0,0,0
Jason McCourty,2,0,7,6
Brice McCain,2,0,33,33
Byron Maxwell,2,0,29,27
Cre'von LeBlanc,2,1,24,24
Gerald Hodges,2,0,27,21
Chris Harris,2,0,36,36
Andre Hal,2,0,36,24
Marcus Gilchrist,2,0,25,25
Chris Conte,2,1,73,53
Jamie Collins,2,0,31,18
Jalen Collins,2,0,37,37
Barry Church,2,0,14,14
Kam Chancellor,2,0,5,5
Jairus Byrd,2,0,35,24
Rafael Bush,2,1,39,39
Morgan Burnett,2,0,19,19
Vontaze Burfict,2,0,54,47
James Bradberry,2,0,21,16
Tre Boston,2,0,29,22
Mark Barron,2,0,8,7
David Amerson,2,0,0,0
Kiko Alonso,2,1,70,60
Ricardo Allen,2,0,3,3
Nate Allen,2,0,5,4
Robert Alford,2,1,34,30
Maurice Alexander,2,0,19,19
Mike Adams,2,0,56,56
Isa Abdul-Quddus,2,0,16,9
Daryl Worley,1,0,22,22
Wesley Woodyard,1,0,21,21
Ramik Wilson,1,0,6,6
Avery Williamson,1,0,0,0
Tramon Williams,1,0,0,0
Teddy Williams,1,0,19,19
J.J. Wilcox,1,0,8,8
D.J. White,1,0,0,0
Lardarius Webb,1,0,0,0
B.W. Webb,1,0,7,7
T.J. Ward,1,0,23,23
Jimmie Ward,1,0,8,8
Cameron Wake,1,0,12,12
Bobby Wagner,1,0,9,9
Jason Verrett,1,0,0,0
Alterraun Verner,1,0,16,16
Kyle Van Noy,1,0,0,0
Desmond Trufant,1,0,9,9
Brynden Trawick,1,0,0,0
Joe Thomas,1,0,9,9
Nate Stupar,1,0,0,0
Daimion Stafford,1,0,4,4
Martrell Spaight,1,0,8,8
Preston Smith,1,0,22,22
Malcolm Smith,1,0,0,0
Daryl Smith,1,0,0,0
Buster Skrine,1,0,51,51
LeShaun Sims,1,0,0,0
DeShawn Shead,1,0,2,2
Josh Shaw,1,0,0,0
Da'Norris Searcy,1,0,0,0
Orlando Scandrick,1,0,0,0
KeiVarae Russell,1,0,0,0
Eric Rowe,1,0,0,0
Quinten Rollins,1,0,0,0
Rashard Robinson,1,0,0,0
Craig Robertson,1,0,29,29
Vincent Rey,1,0,6,6
Darrelle Revis,1,0,51,51
Eric Reid,1,0,13,13
Bacarri Rambo,1,0,17,17
Paul Posluszny,1,0,0,0
Brian Poole,1,0,24,24
Jordan Phillips,1,0,17,17
Adrian Phillips,1,0,22,22
Denzel Perryman,1,0,1,1
Nick Perry,1,0,0,0
