Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ezekiel Elliott,1631,322,15,14,3,60,91,3.538,5
Jordan Howard,1313,252,6,10,2,69,70,3.6,1
DeMarco Murray,1287,293,9,4,2,75,64,4.578,3
Jay Ajayi,1272,260,8,10,4,62,60,4.333,4
Le'Veon Bell,1268,261,7,4,1,44,69,3.783,3
LeSean McCoy,1267,234,13,11,3,75,55,4.255,3
David Johnson,1239,293,16,6,2,58,72,4.069,5
LeGarrette Blount,1161,299,18,7,3,44,67,4.463,2
Devonta Freeman,1079,227,11,7,2,75,61,3.721,1
Lamar Miller,1073,268,5,7,1,45,52,5.154,2
Mark Ingram,1043,205,6,4,2,75,49,4.184,2
Frank Gore,1025,263,4,1,0,22,50,5.26,2
Melvin Gordon,997,254,10,7,3,48,61,4.164,2
Carlos Hyde,988,217,6,7,2,47,48,4.521,4
Isaiah Crowell,952,198,7,8,3,85,45,4.4,2
Spencer Ware,921,214,3,3,2,46,47,4.553,3
Todd Gurley,885,278,6,2,0,24,48,5.792,2
Jeremy Hill,839,222,9,5,3,74,42,5.286,0
Jonathan Stewart,824,218,9,6,1,47,47,4.638,3
Matt Forte,813,218,7,5,0,32,35,6.229,1
Latavius Murray,788,195,12,5,1,42,52,3.75,2
Terrance West,774,193,5,5,1,41,35,5.514,2
Bilal Powell,722,131,3,4,0,35,45,2.911,0
Rob Kelley,704,168,6,4,2,66,29,5.793,0
Ryan Mathews,661,155,8,6,0,30,38,4.079,3
Devontae Booker,612,174,4,0,0,18,30,5.8,2
Rashad Jennings,593,181,3,3,0,25,29,6.241,0
Christine Michael,583,148,7,3,2,83,32,4.625,1
Tyrod Taylor,580,95,6,7,1,49,31,3.065,3
Mike Gillislee,577,101,8,7,1,44,39,2.59,0
Jacquizz Rodgers,560,129,2,3,1,45,29,4.448,0
Tim Hightower,548,133,4,4,0,30,32,4.156,0
Jerick McKinnon,539,159,2,2,0,36,21,7.571,0
Tevin Coleman,520,118,8,5,1,55,24,4.917,1
Jalen Richard,491,83,1,5,1,75,14,5.929,0
Derrick Henry,490,110,5,1,0,22,29,3.793,0
Colin Kaepernick,468,69,2,3,0,30,28,2.464,2
DeAndre Washington,467,87,2,7,0,30,19,4.579,1
T.J. Yeldon,465,130,1,0,0,16,21,6.19,2
Matt Jones,460,99,3,3,1,57,28,3.536,3
Ty Montgomery,457,77,3,5,1,61,20,3.85,1
Paul Perkins,456,112,0,2,0,22,22,5.091,1
Chris Ivory,439,117,3,2,2,42,21,5.571,5
Darren Sproles,438,94,2,1,0,25,22,4.273,0
C.J. Anderson,437,110,4,1,0,28,22,5.0,0
Doug Martin,421,144,3,0,0,17,23,6.261,1
Alfred Blue,420,100,1,2,0,25,23,4.348,2
Matt Asiata,402,121,6,2,0,29,27,4.481,1
Kenneth Dixon,382,88,2,1,0,20,26,3.385,1
Aaron Rodgers,369,67,4,3,0,23,25,2.68,3
Eddie Lacy,360,71,0,4,0,31,15,4.733,0
Cam Newton,359,90,5,2,0,28,28,3.214,1
Blake Bortles,359,58,3,4,0,27,20,2.9,2
Duke Johnson,358,73,1,2,0,22,17,4.294,1
Theo Riddick,357,92,1,2,1,42,19,4.842,0
Chris Thompson,356,68,3,2,0,25,16,4.25,1
Thomas Rawls,349,109,3,1,1,45,21,5.19,0
Marcus Mariota,349,60,2,3,1,41,19,3.158,7
Rex Burkhead,344,74,2,0,0,17,23,3.217,0
DeAngelo Williams,343,98,4,0,0,17,20,4.9,0
Andrew Luck,341,64,2,3,0,33,20,3.2,3
Giovani Bernard,337,91,2,0,0,17,15,6.067,0
Zach Zenner,334,88,4,1,0,20,22,4.0,1
Wendell Smallwood,312,77,1,0,0,19,20,3.85,1
Charcandrick West,293,88,1,2,0,28,14,6.286,0
Justin Forsett,291,87,1,1,1,84,10,8.7,2
Dion Lewis,283,64,0,0,0,15,14,4.571,1
Dak Prescott,282,57,6,0,0,18,21,2.714,3
Tyreek Hill,267,24,3,4,2,70,10,2.4,0
Fozzy Whittaker,265,57,0,1,0,25,10,5.7,1
Dwayne Washington,265,90,1,1,0,28,11,8.182,0
Russell Wilson,259,72,1,0,0,18,16,4.5,2
Alfred Morris,243,69,2,0,0,17,15,4.6,0
Peyton Barber,223,55,1,1,1,44,10,5.5,0
Matthew Stafford,207,37,2,1,0,24,15,2.467,0
Jeremy Langford,200,62,4,1,0,23,12,5.167,2
Shaun Draughn,196,74,4,0,0,18,15,4.933,0
Kenneth Farrow,192,60,0,0,0,11,10,6.0,1
Robert Griffin III,190,31,2,1,0,20,10,3.1,2
Andy Dalton,184,46,4,0,0,15,17,2.706,5
Kenyan Drake,179,33,2,1,1,45,9,3.667,0
Blaine Gabbert,173,40,2,1,0,24,15,2.667,0
C.J. Prosise,172,30,1,1,1,72,3,10.0,0
James White,166,39,0,0,0,16,8,4.875,0
Jameis Winston,165,53,1,0,0,14,10,5.3,4
Robert Turbin,164,47,7,0,0,18,20,2.35,0
Ryan Tannehill,164,39,1,0,0,18,10,3.9,4
Corey Grant,164,32,1,1,1,57,6,5.333,0
Tavon Austin,159,28,1,2,0,30,7,4.0,1
Shane Vereen,158,33,1,1,0,25,8,4.125,1
Kerwynn Williams,157,18,2,3,1,49,8,2.25,0
Terron Ward,151,31,0,2,1,45,6,5.167,0
