Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
Robbie Gould,39,41,0.951,0,7/8,11/11,17/18,4/4,52,1
Greg Zuerlein,38,40,0.95,1/1,8/8,11/12,12/12,6/7,56,0
Harrison Butker,38,42,0.905,0,8/8,16/17,10/12,4/5,53,0
Stephen Gostkowski,37,40,0.925,0,16/16,9/9,8/11,4/4,62,0
Ryan Succop,35,42,0.833,0,10/10,7/7,16/20,2/5,52,1
Chris Boswell,35,38,0.921,0,10/10,12/14,9/10,4/4,53,1
Justin Tucker,34,37,0.919,0,7/7,11/11,11/12,5/7,57,1
Matt Bryant,34,39,0.872,1/1,6/6,10/13,9/10,8/9,57,2
Kai Forbath,32,38,0.842,0,8/8,12/14,6/7,6/9,53,1
Phil Dawson,32,40,0.8,1/1,7/7,10/14,10/13,4/5,57,2
Wil Lutz,31,36,0.861,0,10/10,4/5,13/16,4/5,53,0
Matt Prater,30,35,0.857,2/2,4/4,10/10,7/8,7/11,58,0
Adam Vinatieri,29,34,0.853,0,11/11,7/10,6/7,5/6,54,1
Stephen Hauschka,29,33,0.879,0,6/6,9/9,7/9,7/9,56,0
Graham Gano,29,30,0.967,0,8/8,11/11,10/10,1,48,0
Jake Elliott,26,31,0.839,0,5/5,4/7,12/13,5/6,61,0
Chandler Catanzaro,25,30,0.833,1/1,6/6,4/4,12/17,2/2,57,1
Brandon McManus,24,32,0.75,0,6/8,11/12,4/6,3/6,53,2
Blair Walsh,21,29,0.724,0,6/6,7/10,8/12,1,49,0
Cody Parkey,21,23,0.913,0,6/6,8/8,6/7,1/2,54,0
Ka'imi Fairbairn,20,25,0.8,0,3/4,8/10,6/7,3/4,55,0
Patrick Murray,19,23,0.826,0,5/5,8/8,4/5,2/5,50,0
Josh Lambo,19,20,0.95,0,2/2,11/11,4/5,2/2,56,0
Aldrick Rosas,18,25,0.72,0,8/8,3/5,4/9,3/3,52,2
Randy Bullock,18,20,0.9,0,6/6,7/8,4/5,1/1,51,1
Giorgio Tavecchio,16,21,0.762,0,5/5,5/7,3/5,3/4,53,1
Zane Gonzalez,15,20,0.75,0,5/5,4/6,4/6,2/3,54,0
Mason Crosby,15,19,0.789,0,8/8,2/4,4/4,1/3,50,1
Dan Bailey,15,20,0.75,1/1,3/4,4/5,4/5,3/5,56,0
Dustin Hopkins,14,17,0.824,1/1,7/7,2/2,4/5,2,49,0
Nick Rose,11,14,0.786,0,6/6,3/4,1/2,1/2,80,2
Mike Nugent,11,13,0.846,0,3/3,3/4,4/5,1/1,103,0
Jason Myers,11,15,0.733,0,4/4,2/3,5/5,3,47,0
Connor Barth,11,16,0.688,1/1,4/4,0,5/9,1/2,54,1
Nick Novak,9,13,0.692,0,4/4,4/5,2,1/2,50,1
Travis Coons,7,8,0.875,0,4/4,2/3,1/1,0,40,0
Nick Folk,6,11,0.545,0,2/2,1/2,2/5,1/2,50,0
Cairo Santos,4,5,0.8,0,0,4/4,0,1,77,0
Caleb Sturgis,3,3,1.0,0,0,1/1,1/1,1/1,50,0
Younghoe Koo,3,6,0.5,0,2/2,0,1/4,0,41,1
Sam Ficken,2,3,0.667,0,2/2,1,0,0,23,0
