Player,KO,Yds,Yds.1,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Harrison Butker,110,7070,794,72,0.655,35,22.7,1,0,3,0
Wil Lutz,101,6503,862,64,0.634,37,23.3,0,0,0,0
Stephen Gostkowski,93,5783,1034,50,0.538,42,24.6,0,0,0,0
Justin Tucker,92,5799,745,58,0.63,32,23.3,1,0,1,0
Ka'imi Fairbairn,92,5885,682,58,0.63,33,20.7,1,0,0,0
Cody Parkey,89,5664,548,65,0.73,22,24.9,1,1,1,1
Matt Bosher,89,5578,818,51,0.573,36,22.7,2,0,0,0
Rigoberto Sanchez,88,5435,595,59,0.67,27,22.0,2,0,0,0
Aldrick Rosas,85,5254,570,51,0.6,28,20.4,4,1,3,0
Mason Crosby,83,5168,1013,41,0.494,39,26.0,3,0,0,1
Jason Myers,82,5255,531,60,0.732,22,24.1,0,0,0,0
Jake Elliott,82,5210,540,57,0.695,24,22.5,1,0,0,0
Chris Boswell,81,5097,640,50,0.617,31,20.6,0,0,0,0
Randy Bullock,79,5003,705,45,0.57,31,22.7,1,0,1,0
Bradley Pinion,77,4963,650,52,0.675,25,26.0,0,0,0,0
Brett Maher,77,4984,662,52,0.675,25,26.5,0,0,0,0
Greg Zuerlein,75,4843,427,57,0.76,18,23.7,0,0,0,0
Sebastian Janikowski,74,4648,826,42,0.568,30,27.5,2,0,0,1
Brandon McManus,73,4473,581,42,0.575,28,20.8,4,0,1,0
Sam Martin,73,4454,797,34,0.466,34,23.4,5,1,0,0
Ryan Succop,70,4480,689,45,0.643,24,28.7,1,0,0,1
Jason Sanders,70,4432,339,55,0.786,13,26.1,1,0,1,1
Dustin Hopkins,70,4443,295,56,0.8,13,22.7,1,0,0,0
Greg Joseph,69,4379,458,47,0.681,20,22.9,1,0,1,0
Dan Bailey,69,4164,714,35,0.507,30,23.8,4,0,2,0
Stephen Hauschka,66,3958,754,30,0.455,34,22.2,3,0,0,0
Chandler Catanzaro,65,4118,279,52,0.8,13,21.5,0,0,0,0
Graham Gano,62,3940,344,47,0.758,14,24.6,1,0,0,0
Josh Lambo,54,3283,287,36,0.667,16,17.9,2,1,0,0
Daniel Carlson,54,3359,588,29,0.537,24,24.5,1,0,1,0
Mike Badgley,54,3331,962,9,0.167,45,21.4,0,0,0,0
Cairo Santos,49,2977,628,19,0.388,29,21.7,2,0,0,0
Caleb Sturgis,34,2195,360,18,0.529,16,22.5,0,0,0,0
Phil Dawson,32,1982,357,14,0.438,17,21.0,1,0,1,0
Zane Gonzalez,28,1802,258,17,0.607,11,23.5,0,0,0,0
Matt McCrane,21,1249,302,5,0.238,15,20.1,1,0,0,0
Mike Nugent,14,858,180,6,0.429,7,25.7,1,0,0,0
Sam Ficken,13,804,33,11,0.846,1,33.0,0,0,1,0
Logan Cooke,10,625,87,5,0.5,5,17.4,0,0,0,0
Michael Dickson,9,434,93,0,0.0,7,13.3,1,0,1,0
Matt Prater,6,343,40,3,0.5,3,13.3,0,0,0,0
Johnny Hekker,6,381,49,2,0.333,4,12.3,0,0,0,0
Robbie Gould,4,102,12,0,0.0,2,6.0,2,0,0,0
Thomas Morstead,2,95,23,0,0.0,2,11.5,0,0,0,0
J.K. Scott,1,61,9,0,0.0,1,9.0,0,0,0,0
Andy Lee,1,68,31,0,0.0,1,31.0,0,0,0,0
Brett Kern,1,43,7,0,0.0,1,7.0,0,0,0,0
Lachlan Edwards,1,56,8,0,0.0,1,8.0,0,0,0,0
Dustin Colquitt,1,60,15,0,0.0,1,15.0,0,0,0,0
Britton Colquitt,1,56,0,0,0.0,0,0.0,0,0,0,0
Daren Bates,1,13,0,0,0.0,0,0.0,1,0,0,0
Bryan Anger,1,73,12,0,0.0,1,12.0,0,0,0,0
