Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
De'Anthony Thomas,48.0,1,48,0,1,1,48,0,1
Corey Coleman,19.0,1,19,0,0,0,19,2,0
Eric Weddle,18.0,1,18,0,0,0,18,0,0
Jakeem Grant,16.3,14,228,1,3,1,71,6,0
Andre Roberts,14.1,23,324,1,3,3,78,27,1
Dwayne Harris,14.1,20,281,1,2,2,99,15,0
Dede Westbrook,14.0,19,266,1,6,2,74,13,1
Desmond King,13.8,23,318,1,6,2,73,8,1
Cyrus Jones,13.2,23,304,1,5,2,94,20,1
Trey Quinn,13.0,4,52,0,1,0,30,4,0
Tarik Cohen,12.5,33,411,0,7,2,44,21,4
Antonio Callaway,12.2,5,61,0,1,0,37,1,0
Marcus Sherels,12.0,23,276,0,6,1,70,15,0
Darius Phillips,12.0,2,24,0,0,0,16,1,1
Nick Williams,11.8,4,47,0,1,0,38,1,0
Trevor Davis,11.0,4,44,0,0,0,15,1,0
Marqui Christian,11.0,1,11,0,0,0,11,0,0
T.J. Jones,10.9,8,87,0,1,0,25,8,0
JoJo Natson,10.8,26,280,0,4,1,60,10,2
Tyreek Hill,10.7,20,213,1,2,1,91,3,0
Alex Erickson,10.6,20,212,0,3,0,38,20,1
DaeSean Hamilton,10.3,3,31,0,0,0,13,5,0
Jamison Crowder,10.0,2,20,0,0,0,11,3,0
Pharoh Cooper,9.9,8,79,0,1,1,57,1,1
DeAndre Carter,9.6,26,249,0,4,1,72,8,3
Rishard Matthews,9.5,4,38,0,0,0,18,0,0
Damiere Byrd,9.5,11,104,0,1,0,30,5,0
Chester Rogers,9.3,23,215,0,3,1,51,28,1
Adoree' Jackson,9.3,16,148,0,1,0,26,9,3
Jabrill Peppers,8.8,25,219,0,2,0,33,22,2
Ryan Switzer,8.4,30,252,0,3,0,23,26,2
Tim White,8.3,9,75,0,0,0,14,6,1
Micah Hyde,8.3,9,75,0,1,0,31,10,0
Tyler Ervin,8.3,21,175,0,1,0,27,7,1
Darren Sproles,8.3,10,83,0,0,0,14,9,0
Rashad Greene,8.0,2,16,0,0,0,8,1,0
Christian Kirk,7.8,21,164,0,2,1,44,17,0
Trent Taylor,7.8,10,78,0,0,0,18,6,1
Julian Edelman,7.7,20,154,0,2,0,25,11,1
Phillip Lindsay,7.7,3,23,0,0,0,15,0,0
Quadree Henderson,7.6,9,68,0,1,0,21,3,0
Marcus Murphy,7.5,2,15,0,0,0,9,2,1
Tommylee Lewis,7.5,8,60,0,0,0,17,6,0
Janarion Grant,7.4,7,52,0,1,1,51,4,2
Jawill Davis,7.4,12,89,0,1,0,23,4,0
Justin Hardy,7.4,20,147,0,0,0,18,23,1
Patrick Peterson,7.1,9,64,0,0,0,16,4,0
Tramon Williams,6.9,12,83,0,1,0,23,10,3
Alvin Kamara,6.8,12,82,0,0,0,16,9,1
Adam Humphries,6.6,21,139,0,0,0,16,15,2
Randall Cobb,6.6,7,46,0,0,0,17,6,1
Brandon Zylstra,6.5,4,26,0,0,0,9,4,0
Mike Hughes,6.5,2,13,0,0,0,13,0,1
Isaiah McKenzie,6.3,16,100,0,1,0,32,3,2
Richie James,6.3,12,75,0,1,0,23,10,2
Jaire Alexander,6.3,4,25,0,1,0,24,1,2
Tyrann Mathieu,6.0,1,6,0,0,0,6,1,0
Tavon Austin,5.8,10,58,0,1,0,22,7,0
Tyler Lockett,5.7,25,143,0,0,0,19,20,1
Cole Beasley,5.5,11,61,0,0,0,14,18,0
Danny Amendola,5.4,11,59,0,0,0,12,9,2
D.J. Moore,5.3,6,32,0,0,0,15,5,1
Brandon Tate,5.0,3,15,0,0,0,8,0,1
Ray-Ray McCloud,5.0,4,20,0,0,0,13,2,1
Jarvis Landry,5.0,2,10,0,0,0,8,1,0
Jeremy Kerley,5.0,2,10,0,0,0,6,0,0
Jaydon Mickens,4.9,12,59,0,0,0,16,2,1
J.J. Jones,4.8,5,24,0,0,0,11,2,2
DeSean Jackson,4.8,5,24,0,0,0,11,0,0
Jamal Agnew,4.8,12,57,0,0,0,16,3,1
Odell Beckham Jr.,4.3,8,34,0,0,0,16,2,2
Kenjon Barner,4.1,7,29,0,0,0,13,6,1
Golden Tate,4.0,7,28,0,0,0,21,0,1
Brandon Powell,4.0,2,8,0,0,0,5,3,0
Cooper Kupp,4.0,1,4,0,0,0,4,3,0
Maurice Harris,3.7,3,11,0,0,0,6,3,1
Jordy Nelson,3.5,2,7,0,0,0,7,2,1
Greg Stroman,3.4,8,27,0,0,0,10,13,1
River Cracraft,3.3,12,40,0,1,0,20,11,0
Travis Benjamin,3.2,5,16,0,0,0,8,4,0
Kenny Stills,3.0,2,6,0,0,0,6,1,1
Dante Pettis,3.0,9,27,0,0,0,14,2,2
Stacy Coley,3.0,2,6,0,0,0,6,1,1
Kaelin Clay,3.0,5,15,0,0,0,6,1,1
Corey Clement,2.8,6,17,0,0,0,10,2,2
Adam Jones,2.5,10,25,0,0,0,10,1,0
T.Y. Hilton,2.0,1,2,0,0,0,2,0,0
Quandre Diggs,2.0,2,4,0,0,0,4,1,0
Jalen Richard,1.5,2,3,0,0,0,3,2,1
Cameron Batson,1.3,3,4,0,0,0,5,1,1
Quenton Meeks,1.0,1,1,0,0,0,1,0,0
Tre Sullivan,0.0,1,0,0,0,0,0,0,1
Jaylen Samuels,0.0,1,0,0,0,0,0,0,1
Dominique Rodgers-Cromartie,0.0,1,0,0,0,0,0,0,0
Demarcus Robinson,0.0,1,0,0,0,0,0,0,0
Riley McCarron,0.0,1,0,0,0,0,0,3,1
Kevin King,0.0,1,0,0,0,0,0,0,1
Josh Jackson,0.0,2,0,0,0,0,0,1,1
Taysom Hill,0.0,1,0,0,0,0,0,0,0
Chris Herndon,0.0,1,0,0,0,0,0,0,1
Marvin Hall,0.0,1,0,0,0,0,0,1,0
Bruce Ellington,0.0,1,0,0,0,0,0,5,1
Terrence Brooks,0.0,1,0,0,0,0,0,0,1
Jerome Baker,0.0,1,0,0,0,0,0,0,1
Keenan Allen,0.0,1,0,0,0,0,0,1,1
Nelson Agholor,0.0,1,0,0,0,0,0,0,0
