Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Cooper Kupp,145,1947,16,30,9,59,89,0.614,0,0,191
Justin Jefferson,108,1616,10,27,5,56,75,0.694,1,0,167
Davante Adams,123,1553,11,19,4,59,84,0.683,0,0,169
Ja'Marr Chase,81,1455,13,22,8,82,56,0.691,2,0,128
Deebo Samuel,77,1405,6,23,9,83,51,0.662,4,0,121
Mark Andrews,107,1361,9,20,2,43,75,0.701,1,0,154
Tyreek Hill,111,1239,9,13,3,75,75,0.676,2,0,159
Stefon Diggs,103,1225,10,12,4,61,66,0.641,1,0,164
Tyler Lockett,73,1175,8,22,7,69,41,0.562,0,0,107
Diontae Johnson,107,1161,8,14,4,50,59,0.551,2,0,169
D.J. Moore,93,1157,4,16,1,64,60,0.645,1,0,163
Mike Williams,76,1146,9,17,9,72,51,0.671,0,0,129
Keenan Allen,106,1138,6,12,2,42,66,0.623,1,0,157
Travis Kelce,92,1125,9,13,2,69,62,0.674,1,0,134
Chris Godwin,98,1103,5,15,1,44,55,0.561,2,0,127
CeeDee Lamb,79,1102,6,20,2,49,54,0.684,0,0,120
Tee Higgins,74,1091,6,17,2,54,53,0.716,1,0,110
Michael Pittman,88,1082,6,12,3,57,54,0.614,1,0,129
Darnell Mooney,81,1055,4,14,3,64,49,0.605,0,0,140
Terry McLaurin,77,1053,5,15,3,46,47,0.61,0,0,130
Hunter Renfrow,103,1038,9,10,1,54,51,0.495,1,0,128
Brandin Cooks,90,1037,6,12,5,52,45,0.5,0,0,134
Mike Evans,74,1035,14,20,3,46,56,0.757,0,0,114
Kyle Pitts,68,1026,1,16,2,61,43,0.632,0,0,110
Jaylen Waddle,104,1015,6,8,2,57,59,0.567,1,0,140
Marquise Brown,91,1008,6,15,3,49,41,0.451,3,0,145
Christian Kirk,77,982,5,16,4,50,44,0.571,0,0,103
DK Metcalf,75,967,12,11,2,84,48,0.64,1,0,129
Zach Ertz,92,952,7,9,1,103,50,0.543,0,0,143
DeVonta Smith,64,916,5,16,1,46,43,0.672,1,0,104
Amon-Ra St. Brown,90,912,5,11,0,37,48,0.533,0,0,119
George Kittle,71,910,6,13,1,48,42,0.592,2,0,94
A.J. Brown,63,869,5,10,3,57,45,0.714,0,0,105
Jakobi Meyers,83,866,2,12,0,39,42,0.506,1,0,126
Amari Cooper,68,865,8,15,1,41,45,0.662,1,0,104
Chase Claypool,59,860,2,13,4,59,36,0.61,0,0,105
A.J. Green,54,848,3,16,3,42,37,0.685,0,0,92
Marvin Jones,73,832,4,13,0,33,42,0.575,0,0,120
Dallas Goedert,56,830,4,14,1,45,42,0.75,1,0,76
Tyler Boyd,67,828,5,10,2,68,37,0.552,1,0,94
Brandon Aiyuk,56,826,5,16,1,43,37,0.661,1,0,84
