Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
49ers,322,4013,12.5,30,59,12,78T,187,58.1,3,70
Bears,342,3828,11.2,22,50,8,60,188,55.0,3,68
Bengals,374,3985,10.7,22,46,7,74T,196,52.4,3,80
Bills,306,3835,12.5,19,46,11,66T,183,59.8,2,73
Broncos,306,3200,10.5,13,32,4,80T,169,55.2,5,79
Browns,347,4173,12.0,36,52,12,63,220,63.4,1,67
Buccaneers,347,4246,12.2,24,58,16,68,203,58.5,7,81
Cardinals,344,3739,10.9,21,47,8,71,175,50.9,2,66
Chargers,364,4217,11.6,21,53,8,64T,204,56.0,3,83
Chiefs,350,4120,11.8,23,47,7,76T,209,59.7,6,100
Colts,378,4411,11.7,27,55,8,49,225,59.5,6,60
Cowboys,425,4376,10.3,25,45,7,67T,226,53.2,6,64
Dolphins,368,4101,11.1,30,48,9,77T,199,54.1,6,73
Eagles,333,4039,12.1,25,57,13,80T,177,53.2,4,73
Falcons,422,4495,10.7,31,53,5,58,232,55.0,6,87
Giants,369,4260,11.5,15,59,12,71,191,51.8,5,97
Jaguars,345,3627,10.5,20,40,12,64T,174,50.4,1,53
Jets,347,4077,11.7,30,52,13,84T,203,58.5,2,51
Lions,399,4136,10.4,33,50,6,64,206,51.6,1,62
Packers,370,4603,12.4,32,58,11,73T,227,61.4,3,85
Panthers,409,4561,11.2,27,54,11,87T,223,54.5,4,68
Patriots,368,4033,11.0,21,53,5,66,190,51.6,4,71
Raiders,328,4267,13.0,27,61,16,98T,188,57.3,5,70
Rams,378,3928,10.4,32,41,6,64T,194,51.3,5,72
Ravens,369,3947,10.7,28,50,8,79T,190,51.5,1,66
Redskins,387,4383,11.3,22,53,8,54,225,58.1,2,74
Saints,378,4593,12.2,27,48,9,66T,230,60.8,7,67
Seahawks,331,3884,11.7,16,51,9,80T,180,54.4,2,69
Steelers,381,4141,10.9,20,40,10,95T,184,48.3,4,79
Texans,319,3424,10.7,20,38,6,86T,157,49.2,2,68
Titans,388,4585,11.8,25,56,12,58,227,58.5,1,75
Vikings,332,3637,11.0,22,41,5,67,186,56.0,2,58
