Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk
49ers,19.7,38,749,0,18,1,41,0,2,0,2
Bears,21.4,42,897,0,23,2,64,0,1,1,0
Bengals,25.7,39,1003,0,26,3,84,0,0,1,2
Bills,21.3,39,829,0,20,2,45,0,1,0,0
Broncos,22.9,21,481,0,12,2,46,0,1,0,2
Browns,18.6,34,634,0,12,0,36,0,1,1,0
Buccaneers,14.6,21,307,0,5,0,26,0,0,0,0
Cardinals,21.8,25,544,0,12,2,51,1,0,1,1
Chargers,18.1,28,508,0,14,0,30,0,1,0,0
Chiefs,23.6,40,943,1,28,2,86T,0,0,0,0
Colts,25.1,32,804,1,20,3,99T,0,0,0,2
Cowboys,20.5,24,492,0,16,0,33,0,1,0,0
Dolphins,25.1,35,879,1,20,4,96T,0,1,0,3
Eagles,27.3,35,956,2,20,5,98T,0,0,1,1
Falcons,21.0,23,484,0,13,1,42,0,0,0,2
Giants,23.8,31,739,0,21,3,46,0,0,2,0
Jaguars,23.8,37,881,1,22,3,100T,0,0,0,1
Jets,21.9,43,941,0,24,2,65,0,1,0,0
Lions,22.7,35,793,0,25,2,42,0,0,1,0
Packers,19.7,32,631,0,16,1,40,0,0,0,0
Panthers,22.4,37,828,0,18,3,59,0,1,3,0
Patriots,18.7,29,542,0,10,2,73,0,3,2,1
Raiders,20.5,26,534,0,16,1,50,0,0,0,2
Rams,23.9,47,1122,0,32,6,61,0,1,0,1
Ravens,22.7,28,636,0,13,2,60,0,2,2,1
Redskins,21.1,27,570,0,14,1,45,0,1,1,0
Saints,16.5,28,462,0,8,0,31,0,0,0,0
Seahawks,23.1,35,808,0,25,2,46,0,0,2,0
Steelers,21.5,28,603,0,19,1,44,0,0,1,0
Texans,18.6,30,557,0,11,0,39,0,3,0,0
Titans,19.1,33,629,0,13,0,37,0,0,0,0
Vikings,27.3,33,902,1,20,4,104T,0,1,1,0
