Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
49ers,221,95,12,10,198,57.6,108,22.0,1065
Bears,219,86,11,6,180,52.5,85,19.7,1003
Bengals,241,98,19,9,173,51.5,111,22.7,1091
Bills,214,82,20,11,199,53.8,121,26.0,1066
Broncos,209,66,21,7,166,56.5,68,15.9,952
Browns,224,91,10,5,189,52.5,95,20.3,1026
Buccaneers,216,104,9,2,202,54.4,102,23.2,1011
Cardinals,224,80,16,7,187,54.5,68,16.7,1007
Chargers,221,86,20,6,153,46.5,99,23.0,997
Chiefs,207,83,17,9,204,62.8,112,25.3,1044
Colts,217,97,14,7,192,60.0,99,20.3,1026
Cowboys,210,90,13,4,181,48.8,96,23.8,1000
Dolphins,203,75,8,2,190,56.0,88,20.4,989
Eagles,205,66,18,4,177,48.8,62,18.4,976
Falcons,196,75,19,13,197,54.4,97,24.1,994
Giants,222,88,17,5,189,54.5,101,21.8,1052
Jaguars,220,74,13,6,143,49.5,91,21.2,993
Jets,221,82,11,5,191,58.1,88,18.9,1052
Lions,194,74,15,8,205,56.0,110,25.5,1037
Packers,208,89,10,8,211,60.6,95,20.5,1014
Panthers,206,78,20,7,187,53.3,69,19.5,953
Patriots,208,82,23,10,204,55.6,98,25.1,1022
Raiders,215,88,10,7,187,51.8,93,21.5,994
Rams,227,86,15,9,181,55.9,86,20.6,1020
Ravens,222,82,16,6,179,53.8,87,20.0,1045
Redskins,226,83,15,9,171,55.9,105,22.2,1045
Saints,212,87,12,4,172,52.3,92,22.7,1002
Seahawks,222,85,15,7,181,55.7,90,19.9,1045
Steelers,199,72,19,6,157,52.9,89,23.1,940
Texans,201,71,8,5,176,54.8,88,20.0,973
Titans,214,78,16,10,231,62.6,68,17.1,1046
Vikings,202,51,23,9,168,51.9,59,16.2,956
