Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers,17,10,0,5,10
Bears,14,14,1,4,8
Bengals,4,2,0,1,4
Bills,16,7,2,7,5
Broncos,8,7,2,3,4
Browns,14,6,0,7,5
Buccaneers,18,13,3,5,9
Cardinals,17,6,1,3,7
Chargers,13,9,1,3,5
Chiefs,12,10,3,6,4
Colts,11,7,0,4,10
Cowboys,20,10,0,3,6
Dolphins,9,6,2,1,9
Eagles,14,11,4,3,3
Falcons,12,8,2,0,8
Giants,12,6,0,4,3
Jaguars,17,12,5,1,8
Jets,9,9,0,5,9
Lions,16,13,2,5,8
Packers,10,10,1,3,6
Panthers,15,11,1,4,1
Patriots,9,5,0,4,6
Raiders,12,9,0,2,6
Rams,17,10,0,3,8
Ravens,16,12,2,4,5
Redskins,12,7,0,2,8
Saints,17,5,1,4,5
Seahawks,13,9,1,1,8
Steelers,12,6,0,5,4
Texans,13,5,2,2,4
Titans,11,9,1,5,9
Vikings,8,5,0,1,4
