Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,23,28,56,2
Bears,8,20,30,1
Bengals,9,18,28,2
Bills,13,21,35,3
Broncos,11,16,28,1
Browns,15,22,38,1
Buccaneers,15,33,54,5
Cardinals,18,20,38,3
Chargers,12,24,37,1
Chiefs,16,30,50,1
Colts,17,22,42,2
Cowboys,18,30,49,2
Dolphins,10,22,34,1
Eagles,16,27,46,4
Falcons,10,29,42,2
Giants,11,30,44,2
Jaguars,3,24,29,4
Jets,6,19,31,3
Lions,7,28,38,0
Packers,18,26,44,3
Panthers,20,17,38,1
Patriots,17,25,49,2
Raiders,13,22,37,0
Rams,20,22,46,1
Ravens,21,37,64,2
Redskins,9,18,28,1
Saints,12,36,52,0
Seahawks,15,31,49,1
Steelers,7,18,29,0
Texans,17,27,46,1
Titans,21,29,54,1
Vikings,19,26,47,1
