Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
49ers,30,39,76.9,0_0,11_11,11_9,13_10,4_0,48,2
Bears,23,28,82.1,1_1,8_8,10_9,7_3,2_2,53,0
Bengals,27,31,87.1,0_0,10_10,6_6,12_10,3_1,57,0
Bills,22,28,78.6,0_0,5_5,8_7,10_9,5_1,51,0
Broncos,29,34,85.3,0_0,6_6,9_9,12_10,7_4,53,0
Browns,25,29,86.2,0_0,6_6,9_9,12_9,2_1,53,0
Buccaneers,27,35,77.1,0_0,6_6,7_5,14_11,8_5,58,1
Cardinals,31,35,88.6,0_0,12_12,13_12,8_5,2_2,54,1
Chargers,26,34,76.5,0_0,7_7,7_6,17_11,3_2,51,1
Chiefs,34,38,89.5,0_0,9_9,10_9,13_13,6_3,56,1
Colts,22,31,71.0,1_1,8_7,7_7,8_3,7_4,55,2
Cowboys,30,40,75.0,0_0,10_10,9_7,12_8,9_5,63,1
Dolphins,23,30,76.7,0_0,7_7,9_8,9_5,5_3,54,0
Eagles,22,26,84.6,0_0,7_7,8_8,7_5,4_2,53,0
Falcons,32,40,80.0,0_0,7_7,14_12,12_10,7_3,52,0
Giants,12,17,70.6,0_0,6_6,6_5,4_1,1_0,45,0
Jaguars,33,34,97.1,0_0,12_12,9_9,9_8,4_4,56,0
Jets,19,28,67.9,0_0,2_2,8_7,12_7,6_3,54,1
Lions,26,31,83.9,0_0,11_11,3_2,9_6,8_7,56,1
Packers,22,24,91.7,1_1,2_2,11_11,8_7,2_1,54,0
Panthers,25,32,78.1,0_0,5_4,5_5,11_8,11_8,55,1
Patriots,27,34,79.4,1_1,13_12,9_8,10_5,1_1,51,2
Raiders,19,26,73.1,0_0,8_8,6_5,10_6,2_0,48,0
Rams,24,33,72.7,0_0,7_7,8_7,11_5,7_5,58,1
Ravens,28,29,96.6,0_0,8_8,9_9,11_10,1_1,51,0
Redskins,25,30,83.3,0_0,8_7,9_8,10_8,3_2,53,1
Saints,32,36,88.9,1_1,9_9,6_6,15_13,5_3,58,0
Seahawks,23,28,82.1,0_0,6_6,11_11,7_4,4_2,54,0
Steelers,29,31,93.5,1_1,11_11,7_7,10_9,2_1,51,0
Texans,20,25,80.0,0_0,5_5,8_8,6_4,6_3,54,0
Titans,8,18,44.4,0_0,0_0,4_2,9_4,5_2,53,2
Vikings,27,29,93.1,0_0,10_10,9_9,7_5,3_3,50,0
