Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
49ers,30,76.9,49,98.0,0,0
Bears,23,82.1,27,93.1,1,0
Bengals,27,87.1,24,96.0,1,0
Bills,22,78.6,30,93.8,1,0
Broncos,29,85.3,25,96.2,0,0
Browns,25,86.2,30,85.7,0,0
Buccaneers,27,77.1,43,89.6,0,0
Cardinals,31,88.6,34,97.1,0,0
Chargers,26,76.5,35,100.0,0,1
Chiefs,34,89.5,45,93.8,1,0
Colts,22,71.0,33,84.6,0,2
Cowboys,30,75.0,46,100.0,0,0
Dolphins,23,76.7,29,96.7,1,0
Eagles,22,84.6,35,94.6,0,0
Falcons,32,80.0,29,93.5,0,1
Giants,12,70.6,35,89.7,0,0
Jaguars,33,97.1,19,95.0,0,0
Jets,19,67.9,23,85.2,0,0
Lions,26,83.9,35,97.2,1,1
Packers,22,91.7,40,97.6,0,0
Panthers,25,78.1,31,88.6,0,0
Patriots,27,79.4,39,86.7,0,0
Raiders,19,73.1,34,94.4,0,0
Rams,24,72.7,42,100.0,0,0
Ravens,28,96.6,57,96.6,0,0
Redskins,25,83.3,21,95.5,1,0
Saints,32,88.9,48,98.0,0,1
Seahawks,23,82.1,40,90.9,0,0
Steelers,29,93.5,28,100.0,0,1
Texans,20,80.0,40,88.9,0,0
Titans,8,44.4,50,96.2,0,0
Vikings,27,93.1,40,90.9,0,0
