Team,INT,INT TD,INT Yds,Lng
49ers,12,1,123,51
Bears,10,0,81,33
Bengals,11,0,84,30
Bills,15,2,184,51T
Broncos,10,0,130,46
Browns,11,2,214,50T
Buccaneers,15,1,171,37
Cardinals,11,0,129,90
Chargers,12,2,217,78T
Chiefs,16,2,259,50T
Colts,15,4,266,50T
Cowboys,10,0,108,43
Dolphins,18,0,146,29
Eagles,8,1,101,30T
Falcons,12,1,204,67T
FootballTeam,16,2,136,76T
Giants,11,1,101,46T
Jaguars,12,1,200,53
Jets,10,1,134,35T
Lions,7,0,65,36
Packers,11,1,98,24
Panthers,7,0,110,66
Patriots,18,1,162,43T
Raiders,10,0,156,47
Rams,14,3,266,84T
Ravens,10,0,78,25
Saints,18,1,196,48
Seahawks,14,0,106,32
Steelers,18,3,169,37
Texans,3,1,19,19T
Titans,15,0,189,68
Vikings,15,0,65,16
