Team,Sck,Comb,Asst,Solo
49ers,33,1204,480,632
Bears,58,1164,394,702
Bengals,55,1164,440,664
Bills,27,1222,394,680
Broncos,40,1145,460,611
Browns,49,1175,397,667
Buccaneers,23,1175,408,691
Cardinals,39,1217,389,747
Chargers,31,1166,409,668
Chiefs,28,1167,405,699
Colts,32,1189,415,605
Cowboys,33,1235,435,729
Dolphins,40,1188,410,664
Eagles,31,1161,405,693
Falcons,40,1137,452,607
FootballTeam,43,1149,384,689
Giants,38,1117,405,627
Jaguars,32,1067,407,583
Jets,53,1035,316,645
Lions,36,1150,389,658
Packers,33,1166,403,660
Panthers,52,1145,425,643
Patriots,28,1155,356,677
Raiders,40,1193,449,677
Rams,31,1125,389,643
Ravens,57,1231,374,783
Saints,37,1159,443,637
Seahawks,46,1060,384,580
Steelers,38,1232,425,660
Texans,44,1144,405,622
Titans,47,1257,376,755
Vikings,30,1152,361,690
