Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
49ers,199,80,20,10,200,58.3,130,26.1,1046
Bears,216,75,36,15,180,54.2,119,25.1,1075
Bengals,207,82,20,13,208,54.2,96,22.0,1046
Bills,222,103,22,11,236,56.9,134,29.1,1143
Broncos,213,82,28,16,179,50.6,124,27.3,1036
Browns,212,83,29,12,177,55.3,138,28.5,1054
Buccaneers,223,105,16,9,273,55.5,106,27.5,1139
Cardinals,221,100,29,17,214,51.6,127,25.6,1126
Chargers,221,100,34,22,256,57.8,112,26.5,1128
Chiefs,205,107,15,10,267,59.6,119,27.6,1134
Colts,210,86,29,18,167,51.5,154,30.9,1052
Cowboys,228,99,24,14,248,55.9,111,23.5,1153
Dolphins,233,95,22,12,206,51.0,87,19.7,1097
Eagles,221,101,24,11,167,54.4,163,29.6,1075
Falcons,211,82,24,10,196,52.0,75,19.1,1006
FootballTeam,224,87,32,16,181,50.8,129,27.0,1070
Giants,230,84,30,13,171,48.7,90,21.5,1050
Jaguars,212,76,31,18,178,49.3,92,23.5,1028
Jets,212,77,29,14,195,54.6,87,22.9,1036
Lions,213,74,41,21,193,48.7,104,24.4,1056
Packers,202,88,22,13,235,58.5,109,24.4,1072
Panthers,235,84,34,14,174,50.0,118,25.9,1106
Patriots,209,91,17,11,187,51.4,139,28.4,1052
Raiders,206,77,19,12,217,50.6,95,22.9,1082
Rams,205,90,19,10,233,57.4,99,23.6,1058
Ravens,225,82,27,18,209,52.8,159,30.8,1185
Saints,220,78,21,11,165,56.3,113,22.2,1051
Seahawks,193,72,11,4,166,51.2,106,25.7,954
Steelers,239,93,21,10,204,48.0,85,20.7,1113
Texans,239,95,21,9,162,45.8,77,18.3,1010
Titans,236,103,24,15,194,54.0,134,24.3,1133
Vikings,228,83,22,12,202,50.8,103,22.9,1083
